compound,name,smiles,mw,formula,volume,monomass,nrotb,tpsa,bioactivities,speciesName,stateName,cityName,iupac,inchi,inchikey,hba,hbd,logp,lipinski
http://nubbekg.aksw.org/data/compound/2528,"Quercetin-3-O-β-D-galactoside, Hyperin",O=C2C1=C(C=C(C=C1OC(C3=CC(O)=C(C=C3)O)=C2O[C@H](O[C@@H]([C@@H]([C@@H]4O)O)CO)[C@@H]4O)O)O,464.3763,C21H20O12,372.206,464.0955,4.0,210.503,Antioxidant,Cryptocarya aschersoniana | Cryptocarya mandioccana | Cryptocarya mandioccana Meissner | Cryptocarya moschata | Ocotea corymbosa | Ocotea elegans | Persea pyrifolia,SP,Araraquara  | Mogi Guacu  | Peruibe  | Sao Miguel Arcanjo  | Ubatuba ,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one","1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1
","OVSQVDMCBVZWGM-DTGCRPNFSA-N
",12.0,8.0,-0.364,2.0
http://nubbekg.aksw.org/data/compound/2723,"Methyl (3R,4R,5R)-3-{[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoyl]oxy}-1,4,5-trihydroxycyclohexanecarboxylate",O=C(O[C@@H]2CC(O)(C(OC)=O)C[C@@H](O)[C@H]2O)/C=C/C1=CC(O)=C(O)C=C1,368.3353,C17H20O9,313.795,368.11072,6.0,153.75,Antioxidant,Chimarrhis turbinata,PA,Belem ,"methyl (3R,4R,5R)-3-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,4,5-trihydroxycyclohexane-1-carboxylate","1S/C17H20O9/c1-25-16(23)17(24)7-12(20)15(22)13(8-17)26-14(21)5-3-9-2-4-10(18)11(19)6-9/h2-6,12-13,15,18-20,22,24H,7-8H2,1H3/b5-3+/t12-,13-,15-,17?/m1/s1
","MZNIJRAPCCELQX-MHYYFZQMSA-N
",9.0,5.0,0.163,0.0
http://nubbekg.aksw.org/data/compound/2735,"Rutin, quercetin-3-O-rutinoside",OC1=CC(O)=C(C(C(O[C@@H]4O[C@H](CO[C@H]5[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O5)[C@@H](O)[C@H](O)[C@H]4O)=C(C3=CC(O)=C(O)C=C3)O2)=O)C2=C1,610.5175,C27H30O16,496.068,610.1534,6.0,269.427,Antioxidant | Inhibition of Acetylcholinesterase | Inhibition of Myeloperoxidase,Chimarrhis turbinata | Khaya senegalensis | Maytenus ilicifolia | Phyllanthus niruri | Pterogyne nitens | Senna multijuga,MG | PA | SP,Araraquara  | Belem  | Botucatu  | Ribeirao Preto  | Sao Paulo  | Vicosa ,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}methyl)oxan-2-yl]oxy}-4H-chromen-4-one","1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1
","IKGXIBQEEMLURG-NVPNHPEKSA-N
",16.0,10.0,-1.063,3.0
http://nubbekg.aksw.org/data/compound/2748,Kaempferitrin,O[C@@H]1[C@@H]([C@H]([C@@H](O[C@H]1OC5=CC(O)=C4C(C(O[C@@H]2O[C@H]([C@@H]([C@H]([C@H]2O)O)O)C)=C(OC4=C5)C3=CC=C(C=C3)O)=O)C)O)O,578.5187,C27H30O14,479.792,578.1636,5.0,228.971,Antioxidant | Inhibition of Myeloperoxidase,Pterogyne nitens,SP,Sao Paulo ,"5-hydroxy-2-(4-hydroxyphenyl)-3,7-bis({[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy})-4H-chromen-4-one","1S/C27H30O14/c1-9-17(30)20(33)22(35)26(37-9)39-13-7-14(29)16-15(8-13)40-24(11-3-5-12(28)6-4-11)25(19(16)32)41-27-23(36)21(34)18(31)10(2)38-27/h3-10,17-18,20-23,26-31,33-36H,1-2H3/t9-,10-,17-,18-,20+,21+,22+,23+,26-,27-/m0/s1
","PUPKKEQDLNREIM-QNSQPKOQSA-N
",14.0,8.0,0.353,3.0
http://nubbekg.aksw.org/data/compound/2767,4-Nerolidilcatechol,C/C(C)=C/CC/C(C)=C/CCC(C)(C1=CC(O)=C(O)C=C1)C=C,314.4617,C21H30O2,332.599,314.22458,8.0,40.456,Antioxidant,Piper umbellata | Pothomorphe umbellata,SP,Araraquara ,"4-[(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-yl]benzene-1,2-diol","1/C21H30O2/c1-6-21(5,18-12-13-19(22)20(23)15-18)14-8-11-17(4)10-7-9-16(2)3/h6,9,11-13,15,22-23H,1,7-8,10,14H2,2-5H3/b17-11+
","ZBZZDHDWRSFLAY-GZTJUZNONA-N
",2.0,2.0,6.509,1.0
http://nubbekg.aksw.org/data/compound/2789,"Pristimerin; 20α-3-hydroxy-2-oxo-24-nor-friedela-1-10,3,5,7-tetraen-carboxylic acid-29-methylester",O=C2C(O)=C(C)C1=CC=C([C@](CC[C@]5(C)[C@]([H])4C[C@](C)([C@@](OC)=O)CC5)(C)[C@@]4(C)CC3)[C@]3(C)C1=C2,464.6362,C30H40O4,455.948,464.29266,2.0,63.604,Anticancer | Antioxidant | Cytotoxic,Cheiloclinium cognatum | Maytenus aquifolium | Maytenus ilicifolia | Peritassa campestris | Salacia campestris,GO | SP,Goiania  | Ribeirao Preto  | Sao Carlos ,"methyl (2R,4aS,12bR,14aS,14bR)-10-hydroxy-2,4a,6a,9,12b,14a-hexamethyl-11-oxo-1,2,3,4,4a,5,6,6a,11,12b,13,14,14a,14b-tetradecahydropicene-2-carboxylate","1S/C30H40O4/c1-18-19-8-9-22-28(4,20(19)16-21(31)24(18)32)13-15-30(6)23-17-27(3,25(33)34-7)11-10-26(23,2)12-14-29(22,30)5/h8-9,16,23,32H,10-15,17H2,1-7H3/t23-,26-,27-,28+,29?,30+/m1/s1
","JFACETXYABVHFD-YDUKQFKJSA-N
",4.0,1.0,5.674,1.0
http://nubbekg.aksw.org/data/compound/2800,Strictosidine,C=CC2[C@@H](OC=C(C2C[C@@](C4=C(CCN5)C3=CC=CC=C3N4)5[H])C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,530.5669,C27H34N2O9,470.257,530.22644,8.0,162.737,Antioxidant,Chimarrhis turbinata,PA,Belem ,"methyl (2S)-3-ethenyl-4-[(1S)-1H,2H,3H,4H,9H-pyrido[3,4-b]indol-1-ylmethyl]-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-3,4-dihydro-2H-pyran-5-carboxylate","1S/C27H34N2O9/c1-3-13-16(10-19-21-15(8-9-28-19)14-6-4-5-7-18(14)29-21)17(25(34)35-2)12-36-26(13)38-27-24(33)23(32)22(31)20(11-30)37-27/h3-7,12-13,16,19-20,22-24,26-33H,1,8-11H2,2H3/t13?,16?,19-,20+,22+,23-,24+,26-,27-/m0/s1
","XBAMJZTXGWPTRM-VGTIHVKGSA-N
",11.0,6.0,1.224,3.0
http://nubbekg.aksw.org/data/compound/2802,5α-carboxystrictosidine,C=CC2[C@@H](OC=C(C2C[C@H]5C4=C(C[C@H](N5)[C@@](O)=O)C3=CC=CC=C3N4)C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,574.5764,C28H34N2O11,497.284,574.21625,9.0,200.036,Antioxidant,Chimarrhis turbinata,PA,Belem ,"(1S,3S)-1-{[(2S)-3-ethenyl-5-(methoxycarbonyl)-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-3,4-dihydro-2H-pyran-4-yl]methyl}-1H,2H,3H,4H,9H-pyrido[3,4-b]indole-3-carboxylic acid","1S/C28H34N2O11/c1-3-12-14(8-18-21-15(9-19(29-18)25(35)36)13-6-4-5-7-17(13)30-21)16(26(37)38-2)11-39-27(12)41-28-24(34)23(33)22(32)20(10-31)40-28/h3-7,11-12,14,18-20,22-24,27-34H,1,8-10H2,2H3,(H,35,36)/t12?,14?,18-,19-,20+,22+,23-,24+,27-,28-/m0/s1
","LHKZIVMTXZLOTP-KBRGVUMASA-N
",13.0,7.0,-0.999,3.0
http://nubbekg.aksw.org/data/compound/2805,Turbinatine,[H][C@]35C2=C(CCN3[C@H]([C@H]([C@H](C5)/[C@@](C(OC)=O)=C/O)C=C)O[C@H](O[C@@H]([C@H]([C@@H]4O)O)CO)[C@@H]4O)C1=CC=CC=C1N2,530.5669,C27H34N2O9,469.672,530.22644,7.0,164.942,Antioxidant,Chimarrhis turbinata,PA,Belem ,"methyl (2Z)-2-[(2S,3S,4S,12bS)-3-ethenyl-4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,2H,3H,4H,6H,7H,12H,12bH-indolo[2,3-a]quinolizin-2-yl]-3-hydroxyprop-2-enoate","1S/C27H34N2O9/c1-3-13-16(17(11-30)26(35)36-2)10-19-21-15(14-6-4-5-7-18(14)28-21)8-9-29(19)25(13)38-27-24(34)23(33)22(32)20(12-31)37-27/h3-7,11,13,16,19-20,22-25,27-28,30-34H,1,8-10,12H2,2H3/b17-11-/t13-,16-,19-,20+,22+,23-,24+,25-,27-/m0/s1
","XAYUCVICBPYPRE-RUPNCQHISA-N
",11.0,6.0,0.852,3.0
http://nubbekg.aksw.org/data/compound/2806,"3,4-dehydro-strictosidine",C=CC2[C@@H](OC=C(C2CC3=NCCC5=C3NC4=CC=CC=C45)C(OC)=O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O,528.551,C27H32N2O9,464.287,528.21075,8.0,163.074,Antioxidant,Chimarrhis turbinata,PA,Belem ,"methyl (2S)-3-ethenyl-4-{3H,4H,9H-pyrido[3,4-b]indol-1-ylmethyl}-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-3,4-dihydro-2H-pyran-5-carboxylate","1S/C27H32N2O9/c1-3-13-16(10-19-21-15(8-9-28-19)14-6-4-5-7-18(14)29-21)17(25(34)35-2)12-36-26(13)38-27-24(33)23(32)22(31)20(11-30)37-27/h3-7,12-13,16,20,22-24,26-27,29-33H,1,8-11H2,2H3/t13?,16?,20-,22-,23+,24-,26+,27+/m1/s1
","KWPBQSXTICIPDO-JXHODNCLSA-N
",11.0,5.0,1.388,2.0
