compound,name,smiles,mw,formula,volume,monomass,nrotb,tpsa,bioactivities,speciesName,stateName,cityName,iupac,inchi,inchikey,hba,hbd,logp,lipinski
http://nubbekg.aksw.org/data/compound/2724,Nitensidine D,C\C(CC/C=C(C)\C)=C/C/N=C(N)\N,195.3045,C11H21N3,213.395,195.17355,5.0,64.41,Antiangiogenic | Antifungal | Cytotoxic | Inhibition of Glycosidase,Pterogyne nitens,SP,Sao Paulo ,"2-[(2E)-3,7-dimethylocta-2,6-dien-1-yl]guanidine","1S/C11H21N3/c1-9(2)5-4-6-10(3)7-8-14-11(12)13/h5,7H,4,6,8H2,1-3H3,(H4,12,13,14)/b10-7+
","WDTUVHUDPPUQMN-JXMROGBWSA-N
",3.0,4.0,2.566,0.0
http://nubbekg.aksw.org/data/compound/2730,Nitensidine E,NC1=NCCC(C)(N1)/C=C/C=C(C)/C,193.2887,C11H19N3,203.368,193.1579,2.0,50.414,Antiangiogenic | Antifungal | Cytotoxic | Inhibition of Glycosidase,Pterogyne nitens,SP,Sao Paulo ,"6-methyl-6-[(1E)-4-methylpenta-1,3-dien-1-yl]-1,4,5,6-tetrahydropyrimidin-2-amine","1/C11H19N3/c1-9(2)5-4-6-11(3)7-8-13-10(12)14-11/h4-6H,7-8H2,1-3H3,(H3,12,13,14)/b6-4+
","HESWCJDXWDNXCR-GQCTYLIANA-N
",3.0,3.0,2.18,0.0
http://nubbekg.aksw.org/data/compound/2731,Pterogynine,N=C(N)N(C/C=C(C)\C)C/C=C(C)/C,195.3045,C11H21N3,213.687,195.17355,5.0,53.113,Anticancer | Cytotoxic,Pterogyne nitens,SP,Sao Paulo ,"1,1-bis(3-methylbut-2-en-1-yl)guanidine","1S/C11H21N3/c1-9(2)5-7-14(11(12)13)8-6-10(3)4/h5-6H,7-8H2,1-4H3,(H3,12,13)
","LNZWTNFGEROXJJ-UHFFFAOYSA-N
",3.0,3.0,2.771,0.0
http://nubbekg.aksw.org/data/compound/2732,Pterogynidine,N=C(NC/C=C(C)/C)NC/C=C(C)\C,195.3045,C11H21N3,214.419,195.17355,6.0,47.906,Antiangiogenic | Anticancer | Cytotoxic,Alchornea glandulosa | Pterogyne nitens,SP,Mogi Guacu  | Sao Paulo ,"1,3-bis(3-methylbut-2-en-1-yl)guanidine","1S/C11H21N3/c1-9(2)5-7-13-11(12)14-8-6-10(3)4/h5-6H,7-8H2,1-4H3,(H3,12,13,14)
","PDIPOEDZYMYFGI-UHFFFAOYSA-N
",3.0,3.0,2.901,0.0
http://nubbekg.aksw.org/data/compound/2739,"Casearin X; (1R*,3S*,5S*,6aR*,7S*,8S*,10R*,10aR*)-1-(Acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-3,5-diyl Dibutanoate",C[C@@H]2C[C@H](O)[C@@]13C([C@@H](OC(CCC)=O)O[C@H]3OC(C)=O)=C[C@H](OC(CCC)=O)C[C@]([H])1[C@@](C)2C/C=C(C=C)/C,532.6656,C30H44O8,514.533,532.3036,13.0,108.377,Anticancer | Cytotoxic,Casearia sylvestris,SP,Sao Miguel Arcanjo ,"(1S,3R,5R,6aS,7R,8R,10S,10aS)-1-(acetyloxy)-5-(butanoyloxy)-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]-1H,3H,5H,6H,6aH,7H,8H,9H,10H-naphtho[1,8a-c]furan-3-yl butanoate","1S/C30H44O8/c1-8-11-25(33)36-21-16-22-27(37-26(34)12-9-2)38-28(35-20(6)31)30(22)23(17-21)29(7,14-13-18(4)10-3)19(5)15-24(30)32/h10,13,16,19,21,23-24,27-28,32H,3,8-9,11-12,14-15,17H2,1-2,4-7H3/b18-13-/t19-,21+,23+,24+,27+,28-,29-,30-/m1/s1
","FOBZFECDCRDFJB-HUJKCTRQSA-N
",8.0,1.0,6.009,2.0
http://nubbekg.aksw.org/data/compound/2741,"Casearin D; (1R*,3S*,5S*,6aR*,7R*,8R*,9S*,10S*,10aR*)-1-(Acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-5,10-dihydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-3,9-diyl Dibutanoate",O[C@H]1C=C([C@@H](OC(CCC)=O)O[C@H]3OC(C)=O)[C@@]([C@@H](O)[C@H](OC(CCC)=O)[C@@H](C)[C@](C)2C/C=C(C=C)/C)3[C@@]2([H])C1,548.665,C30H44O9,522.577,548.2985,13.0,128.605,Cytotoxic,Casearia sylvestris,SP,Sao Miguel Arcanjo ,"(1S,3R,5R,6aS,7S,8S,9R,10R,10aS)-1-(acetyloxy)-9-(butanoyloxy)-5,10-dihydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]-1H,3H,5H,6H,6aH,7H,8H,9H,10H-naphtho[1,8a-c]furan-3-yl butanoate","1S/C30H44O9/c1-8-11-23(33)37-25-18(5)29(7,14-13-17(4)10-3)22-16-20(32)15-21-27(38-24(34)12-9-2)39-28(36-19(6)31)30(21,22)26(25)35/h10,13,15,18,20,22,25-28,32,35H,3,8-9,11-12,14,16H2,1-2,4-7H3/b17-13-/t18-,20+,22+,25-,26+,27+,28-,29-,30-/m1/s1
","UPJCAOKQHBUOLB-QCBPRUOOSA-N
",9.0,2.0,5.093,2.0
http://nubbekg.aksw.org/data/compound/2742,"Casearin L; (1R*,3S*,5S*,6aR*,7R*,8R*,9S*,10S*,10aR*)-1,10-Bis(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-9-hydroxy-5-methoxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]-furan-3-yl Butanoate",C[C@@H]2[C@@H](O)[C@H](OC(C)=O)[C@@]13C([C@@H](OC(CCC)=O)O[C@H]3OC(C)=O)=C[C@H](OC)C[C@]([H])1[C@@](C)2C/C=C(C=C)/C,534.6384,C29H42O9,506.501,534.2829,12.0,117.611,Cytotoxic,Casearia sylvestris,SP,Sao Miguel Arcanjo ,"(1S,3R,5R,6aS,7S,8S,9R,10R,10aS)-1,10-bis(acetyloxy)-9-hydroxy-5-methoxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]-1H,3H,5H,6H,6aH,7H,8H,9H,10H-naphtho[1,8a-c]furan-3-yl butanoate","1S/C29H42O9/c1-9-11-23(32)37-26-21-14-20(34-8)15-22-28(7,13-12-16(3)10-2)17(4)24(33)25(35-18(5)30)29(21,22)27(38-26)36-19(6)31/h10,12,14,17,20,22,24-27,33H,2,9,11,13,15H2,1,3-8H3/b16-12-/t17-,20+,22+,24-,25+,26+,27-,28-,29-/m1/s1
","SLPUISRFGANXBA-RVLVUDRFSA-N
",9.0,1.0,4.79,1.0
http://nubbekg.aksw.org/data/compound/2743,"Casearin O; (1R*,3S*,5S*,6aR*,7R*,8R*,9S*,10S*,10aR*)-1,10-Bis(acetyloxy)-5-methoxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]-3,5,6,6a,7,8,9,10-octahydronaphtho[1,8a-c]furan-3,9-diyl Dibutanoate",C[C@@H]2[C@@H](OC(CCC)=O)[C@H](OC(C)=O)[C@@]13C([C@@H](OC(CCC)=O)O[C@H]3OC(C)=O)=C[C@H](OC)C[C@]([H])1[C@@](C)2C/C=C(C=C)/C,604.7282,C33H48O10,576.616,604.32477,16.0,123.688,Cytotoxic,Casearia sylvestris,SP,Sao Miguel Arcanjo ,"(1S,3R,5R,6aS,7S,8S,9R,10R,10aS)-1,10-bis(acetyloxy)-9-(butanoyloxy)-5-methoxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]-1H,3H,5H,6H,6aH,7H,8H,9H,10H-naphtho[1,8a-c]furan-3-yl butanoate","1S/C33H48O10/c1-10-13-26(36)41-28-20(5)32(8,16-15-19(4)12-3)25-18-23(38-9)17-24-30(42-27(37)14-11-2)43-31(40-22(7)35)33(24,25)29(28)39-21(6)34/h12,15,17,20,23,25,28-31H,3,10-11,13-14,16,18H2,1-2,4-9H3/b19-15-/t20-,23+,25+,28-,29+,30+,31-,32-,33-/m1/s1
","SOBDSHJYJAAUDH-QWNSEVKLSA-N
",10.0,0.0,6.414,2.0
http://nubbekg.aksw.org/data/compound/2744,"Caseargrewiin F; (1R*,3S*,5S*,6aR*,7S*,8R*,10R*,10aR*)-1,3-Bis(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-5-yl Butanoate",C[C@@H]3C[C@@H]([C@]12[C@]([C@H](O[C@H]1OC(C)=O)OC(C)=O)=C[C@@H](C[C@@]([C@](C/C=C(C)\C=C)3C)2[H])OC(CCC)=O)O,504.6124,C28H40O8,480.93,504.2723,11.0,108.377,Cytotoxic | Genotoxic | Mutagenic,Casearia sylvestris,SP,Sao Miguel Arcanjo ,"(1S,3R,5R,6aS,7R,8R,10S,10aS)-1,3-bis(acetyloxy)-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]-1H,3H,5H,6H,6aH,7H,8H,9H,10H-naphtho[1,8a-c]furan-5-yl butanoate","1S/C28H40O8/c1-8-10-24(32)35-20-14-21-25(33-18(5)29)36-26(34-19(6)30)28(21)22(15-20)27(7,12-11-16(3)9-2)17(4)13-23(28)31/h9,11,14,17,20,22-23,25-26,31H,2,8,10,12-13,15H2,1,3-7H3/b16-11-/t17-,20+,22+,23+,25+,26-,27-,28-/m1/s1
","KXTKGXJAUXXXBP-ZAQWCCOOSA-N
",8.0,1.0,5.089,2.0
http://nubbekg.aksw.org/data/compound/2745,"Casearin X Dialdehyde; (2R*,4aS*,5S*,7R*,8R*,8aS*)-4,4a-Diformyl-1,2,4a,5,6,7,8,8a-octahydro-5-hydroxy-7,8-dimethyl-8-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphthalen-2-yl Butanoate",C[C@@H]2C[C@H](O)[C@@]1(C=O)C(C=O)=C[C@H](OC(CCC)=O)C[C@]([H])1[C@@](C)2C/C=C(C=C)/C,402.5238,C24H34O5,398.04,402.24063,9.0,80.675,Cytotoxic,Casearia sylvestris,SP,Sao Miguel Arcanjo ,"(2R,4aS,5S,7R,8R,8aS)-4,4a-diformyl-5-hydroxy-7,8-dimethyl-8-[(2Z)-3-methylpenta-2,4-dien-1-yl]-1,2,4a,5,6,7,8,8a-octahydronaphthalen-2-yl butanoate","1S/C24H34O5/c1-6-8-22(28)29-19-12-18(14-25)24(15-26)20(13-19)23(5,10-9-16(3)7-2)17(4)11-21(24)27/h7,9,12,14-15,17,19-21,27H,2,6,8,10-11,13H2,1,3-5H3/b16-9-/t17-,19+,20+,21+,23-,24+/m1/s1
","JNCWBVCCDFJVEI-ISYBQSFZSA-N
",5.0,1.0,4.791,0.0
