Id,Label,0,1,2,3,4,5,6,7,modularity_class
0,0,0,HIV,0,inactive,HIV_0,22780,,,14
1,1,1,HIV,0,inactive,HIV_1,4620,,,4
2,2,2,HIV,0,inactive,HIV_2,18591,,,8
3,3,3,HIV,0,inactive,HIV_3,32439,,,17
4,4,4,HIV,0,inactive,HIV_4,18203,,,8
5,5,5,HIV,0,inactive,HIV_5,4616,,,16
6,6,6,HIV,0,inactive,HIV_6,5292,,,16
7,7,7,HIV,0,inactive,HIV_7,31271,,,16
8,8,8,HIV,0,inactive,HIV_8,5292,,,16
9,9,9,HIV,0,inactive,HIV_9,26905,,,9
10,10,10,HIV,0,inactive,HIV_10,33566,,,4
11,11,11,HIV,0,inactive,HIV_11,32509,,,6
12,12,12,HIV,0,inactive,HIV_12,16159,,,5
13,13,13,HIV,0,inactive,HIV_13,33566,,,13
14,14,14,HIV,0,inactive,HIV_14,29782,,,4
15,15,15,HIV,0,inactive,HIV_15,30075,,,4
16,16,16,HIV,0,inactive,HIV_16,7065,,,9
17,17,17,HIV,0,inactive,HIV_17,21333,,,13
18,18,18,HIV,0,inactive,HIV_18,24517,,,22
19,19,19,HIV,0,inactive,HIV_19,19,,,16
20,20,20,HIV,0,inactive,HIV_20,20,,,9
21,21,21,HIV,0,inactive,HIV_21,1890,,,9
22,22,22,HIV,0,inactive,HIV_22,4061,,,14
23,23,23,HIV,0,inactive,HIV_23,4061,,,17
24,24,24,HIV,0,inactive,HIV_24,38009,,,14
25,25,25,HIV,0,inactive,HIV_25,3226,,,5
26,26,26,HIV,0,inactive,HIV_26,5796,,,2
27,27,27,HIV,0,inactive,HIV_27,15965,,,6
28,28,28,HIV,0,inactive,HIV_28,3279,,,13
29,29,29,HIV,0,inactive,HIV_29,36063,,,2
30,30,30,HIV,0,inactive,HIV_30,21682,,,16
31,31,31,HIV,1,active,HIV_31,31,,,3
32,32,32,HIV,0,inactive,HIV_32,11805,,,24
33,33,33,HIV,0,inactive,HIV_33,27376,,,6
34,34,34,HIV,1,active,HIV_34,20622,,,1
35,35,35,HIV,0,inactive,HIV_35,32412,,,1
36,36,36,HIV,0,inactive,HIV_36,14834,,,6
37,37,37,HIV,0,inactive,HIV_37,38506,,,17
38,38,38,HIV,0,inactive,HIV_38,33677,,,21
39,39,39,HIV,0,inactive,HIV_39,39,,,6
40,40,40,HIV,0,inactive,HIV_40,20184,,,12
41,41,41,HIV,0,inactive,HIV_41,2270,,,3
42,42,42,HIV,0,inactive,HIV_42,18759,,,5
43,43,43,HIV,0,inactive,HIV_43,26161,,,10
44,44,44,HIV,0,inactive,HIV_44,25528,,,18
