brnpdb_id,common_name,community,consensus_score,tier,hiv_prob,top_atoms_idx,top_atom_symbols,fragment_smiles,smiles
9477,"Ergostane-2,3,6-triol, 25-methyl-, 2,3,6-tris(hydrogen sulfate)",22705,0.9646888420423254,high,0.1589,"[10, 12, 25, 34, 35, 28, 42, 15, 27, 16]","C,C,C,O,O,S,O,C,O,C",C.C.O.O.O.CC.COS,C[C@H](CC[C@H](C)C(C)(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@@H]4[C@@]3(C[C@@H]([C@H](C4)OS(=O)(=O)O)OS(=O)(=O)O)C)OS(=O)(=O)O)C
7807,Amphotericin B,41023,0.715841069372079,high,0.0523,"[27, 3, 39, 7, 10, 25, 61, 50, 6, 28]","C,C,C,C,C,C,C,O,C,C",,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
7267,"β-D-Glucopyranoside, 2-(3,4-dihydroxyphenyl)ethyl 3-O-(6-deoxy-α-L-mannopyranosyl)-, 4-[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoate]",28309,0.7147756194977033,high,0.0113,"[2, 8, 22, 18, 29, 40, 11, 1, 33, 32]","C,C,C,C,O,O,O,C,C,C",C.c.C.O.O.O.cc.CC,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O
5797,"9,12-Octadecadienoic acid, (9E,12E)-",4022,0.672129884865492,high,0.0598,"[10, 11, 7, 3, 19, 8, 12, 15, 5, 9]","C,C,C,C,O,C,C,C,C,C",C.C.C.O.C/C=C/CCC,CCCCC/C=C/C/C=C/CCCCCCCC(=O)O
7150,"9,12-Octadecadienoic acid (9Z,12Z)-",4022,0.672129884865492,high,0.0411,"[10, 2, 8, 1, 12, 13, 16, 18, 3, 19]","C,C,C,C,C,C,C,O,C,O",C.C.C.O.O.CC.CCC,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
3895,(E)-3-(4-Hydroxyphenyl)acrylic acid,8118,0.6674119789495007,high,0.0095,"[4, 5, 7, 2, 3, 6, 1, 0, 8, 10]","C,C,C,C,C,C,C,C,C,O",OC/C=C/c1ccccc1,C1=CC(=CC=C1/C=C/C(=O)O)O
8239,"9,12-Octadecadienoic acid",4022,0.6514850385202096,high,0.0244,"[14, 11, 18, 0, 3, 4, 5, 10, 13, 2]","C,C,O,C,C,C,C,C,C,C",C.O.CCCC.CC.CC,CCCCCC=CCC=CCCCCCCCC(=O)O
8749,"L-Cysteine, L-tyrosylglycyl-L-leucyl-L-seryl-L-lysylglycyl-L-cysteinyl-L-phenylalanylglycyl-L-leucyl-L-lysyl-L-leucyl-L-α-aspartyl-L-arginyl-L-isoleucylglycyl-L-seryl-L-methionyl-L-serylglycyl-L-leucylglycyl-, cyclic (7→23)-disulfide",36713,0.6151649676878468,high,0.0524,"[150, 61, 68, 130, 107, 123, 31, 136, 42, 139]",,,
9611,"Cycloocta[1,2-b:5,6-b′]diindole-6,13-dicarboxylic acid, 5,12-dihydro-, 6,13-dimethyl ester",12358,0.5628124497964816,high,0.0098,"[5, 18, 22, 25, 0, 23, 14, 19, 9, 28]","C,C,C,C,C,O,C,C,C,O",c.c.C.C.O.C=O.ccc,C1=C2C3=C(NC2=CC=C1)C(=CC1=C(NC2=CC=CC=C12)C(=C3)C(=O)OC)C(=O)OC
7316,"5-Azulenemethanol, 1,2,3,4,5,6,7,8-octahydro-α,α,3,8-tetramethyl-, (3S,5R,8S)-",18203,0.5459818954202592,high,0.0111,"[8, 13, 2, 14, 1, 11, 10, 15, 0, 3]","C,C,O,C,C,C,C,C,C,C",C.C.CCC.CC(C)(C)O,CC(O)(C1CC=2C(CCC2C(CC1)C)C)C
9610,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1S,2S,4R)-",31128,0.5274660680988811,high,0.0122,"[13, 4, 14, 10, 6, 11, 2, 3, 0, 12]","C,C,C,C,C,C,C,C,C,C",C.C.C.C.C=CCC.CC,CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C
6859,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-rel-",31128,0.5215694072310726,high,0.0174,"[14, 11, 6, 3, 12, 7, 5, 10, 2, 13]","C,C,C,C,C,C,C,C,C,C",C.C.C.C.C=CC(C)(C)C,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C
7287,"L-Galactose, 6-deoxy-",38940,0.5201801003741984,high,0.0173,"[9, 5, 4, 2, 3, 7, 8, 10, 0, 1]","O,C,C,C,C,O,O,O,C,C",CC[C@@H](O)[C@@H](O)[C@H](O)CO,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O
7374,"L-Mannose, 6-deoxy-",38940,0.5201801003741984,high,0.0185,"[2, 7, 5, 9, 4, 10, 3, 8, 1, 0]","C,O,C,O,C,O,C,O,C,C",CC[C@H](O)[C@@H](O)[C@@H](O)CO,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O
5488,"Urs-12-en-28-oic acid, 3-hydroxy-, (3β,19α,20β)-",41171,0.5022770875756433,high,0.0224,"[26, 2, 13, 23, 18, 10, 7, 6, 27, 28]","C,C,C,O,C,C,C,C,C,C",C.C.C.C.O.CC.CCC,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
7619,Dodecanedioic acid,18203,0.5016738785065504,high,0.0279,"[10, 9, 13, 3, 4, 1, 14, 2, 12, 6]","C,C,C,C,C,C,O,C,C,C",C.CC.CC=O.CCCC,C(CCCCCC(=O)O)CCCCC(=O)O
6310,"Urs-12-en-28-oic acid, 3-hydroxy-, (3β)-",41171,0.4961730154816098,mid,0.0227,"[3, 19, 8, 26, 12, 31, 5, 28, 14, 4]","C,C,C,C,C,O,C,C,C,C",C.C.C.C.O.CCC(C)C,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
3471,caffeic acid,33891,0.4782638723253795,mid,0.0058,"[0, 11, 9, 2, 3, 10, 6, 4, 7, 5]","C,O,O,C,C,O,C,C,C,C",O.O.C=C/c(c)cc(O)c,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
6940,"Olean-12-en-3-ol, (3β)-",507,0.4778652903547943,mid,0.0442,"[15, 26, 6, 10, 19, 13, 11, 0, 4, 29]","C,C,C,C,C,C,C,C,C,C",C.C.C.C.C.C.C.C.CC,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C
2144,myristic acid,4022,0.4685119539671193,mid,0.0322,"[3, 2, 0, 15, 8, 6, 5, 14, 10, 7]","C,C,C,O,C,C,C,O,C,C",C.C.O.O.CC.CCCC,CCCCCCCCCCCCCC(=O)O
8699,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aS,4S,4aR,7S,7aR,7bR)-",41217,0.4655258472116762,mid,0.0486,"[9, 8, 6, 15, 2, 10, 12, 3, 14, 13]","C,C,C,C,C,C,O,C,C,C",C.C.C.CC.CCC(C)O,CC1(C2C3C(CCC3C(CCC21)(O)C)C)C
7858,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aS,7R,7aS,7bS)-",41217,0.4556760815213311,mid,0.0132,"[4, 5, 15, 2, 8, 6, 0, 1, 12, 7]","C,C,C,C,C,C,C,C,O,C",CCCCCO.CC(C)C,CC1(C2C3C(CCC3C(CCC21)(O)C)C)C
122,Quercetin,41134,0.4532037157341467,mid,0.0326,"[0, 21, 3, 20, 18, 7, 4, 8, 11, 16]","C,O,C,O,O,C,C,C,C,O",c.o.O.cO.cc.ccO,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
5244,"1H-Cycloprop[e]azulen-7-ol, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,7S,7aS,7bR)-",34166,0.452249638421598,mid,0.0191,"[5, 12, 4, 1, 10, 6, 2, 3, 7, 14]","C,C,C,C,C,C,C,C,C,C",C.C.C=C1CCC(C)C1C,CC1=C2CCC(C2C3C(C3(C)C)CC1)(C)O
7198,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aR,7R,7aS,7bS)-",41217,0.4480816676079237,mid,0.0252,"[2, 11, 12, 10, 3, 15, 5, 0, 4, 9]","C,C,O,C,C,C,C,C,C,C",C.C.O.CCCCCCC,CC1(C2C3C(CCC3C(CCC21)(O)C)C)C
5806,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7R,7aS,7bS)-",41217,0.440362447448188,mid,0.0164,"[13, 4, 3, 14, 6, 8, 7, 11, 0, 1]","C,C,C,C,C,C,C,C,C,C",CCC.CCCC(C)CC,CC1(C2C3C(CCC3C(CCC21)(O)C)C)C
6621,"Urs-12-en-28-oic acid, 3-hydroxy-, (3α)-",41171,0.4352239037773148,mid,0.0399,"[18, 29, 10, 22, 13, 20, 14, 30, 8, 7]","C,C,C,C,C,C,C,C,C,C",C.C.C.CCC.CC.CC,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
7674,Octadecanal,17680,0.4304974321984687,mid,0.0417,"[10, 12, 6, 13, 0, 9, 17, 4, 15, 8]","C,C,C,C,C,C,C,C,C,C",C.C.C.C.C.CC.CCC,CCCCCCCCCCCCCCCCCC=O
6397,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-",31868,0.4255110332779065,mid,0.0095,"[13, 11, 14, 7, 5, 12, 4, 9, 2, 6]","C,C,C,C,C,C,C,C,C,C",C.C.C.CC(C)CC1CC1,CC1CCC(C2C13C2C(CC3)=C)C(C)C
