community,n_brnpdb,mean_consensus,compound_names,mcs_smarts,recurring_groups,shared_scaffolds
41217,8,0.3641,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aS,4S,4aR,7S,7aR,7bR)- | 1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aS,7R,7aS,7bS)- | 1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aR,7R,7aS,7bS)- | 1H-Cycloprop[e]azulen-4-ol, decahydro-1",[#6&!R]-&!@[#6]1-&@[#6]-&@[#6]-&@[#6]2-&@[#6]-&@1-&@[#6]1-&@[#6](-&@[#6]-&@1(-&!@[#6&!R])-&!@[#6&!R])-&@[#6]-&@[#6]-&@[#6]-&@2,hydroxyl(4); alkene(4),C1CC2CCCC2C2CC2C1 (x4); C=C1CC[C@H]2C[C@H]2[C@@H]2CCC[C@@H]12 (x3)
24793,7,0.2137,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9S)- | Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)- | Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)- | 5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1R,4R,6R,10S)",[#6]1-&@[#6]-&@[#6](-&@[#6]-&@1)(-&!@[#6&!R])-&!@[#6&!R],alkene(7),C=C1CC/C=C/CC[C@H]2CC[C@H]12 (x3); C=C1CCC2OC2CCC2CCC12 (x2)
41273,6,0.0223,D-Arabinose | D-Ribose | D-Xylose | Arabinose | L-Arabinose | L-Lyxose,[#8&!R],hydroxyl(6); ether(4); pyranose_sugar(4),C1CCOCC1 (x4); (none) (x2)
41230,6,0.3371,"4H-1-Benzopyran-4-one, 3-(α-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy- | 4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(D-xylopyranosyloxy)- | 4H-1-Benzopyran-4-one, 3-(β-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy- | 4H-1-Benzopyran-4-one, 3-(ara",[#6]1(-&@[#6](-&!@[#8&!R])-&@[#6](-&!@[#8&!R])-&@[#6](-&@[#6]-&@[#8]-&@1)-&!@[#8&!R])-&!@[#8&!R]-&!@[#6]1:&@[#6](:&@[#8]:&@[#6]2:&@[#6](:&@[#6]:&@1=&!@[#8&!R]):&@[#6](:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#8&!R])-&!@[#8&!R])-&!@[#6]1:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#8&!R])-&!@[#8&!R],aromatic_benzene(6); phenol(6); catechol(6); hydroxyl(6); ether(6); pyranose_sugar(6),O=c1c(O[C@H]2CCCCO2)c(-c2ccccc2)oc2ccccc12 (x3); O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12 (x2)
18465,5,0.1035,"2(5H)-Furanone, 5-(2,4,6-octatriyn-1-yl)-, (5R)- | 2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4S,5R)- | 2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4R,5S)-rel- | 2(3H)-Furanone, 5-(1,8-dihydroxy-2,4,6-octatriyn-1-yl)dihydro-, (5S)- | 2(3H)-Furanone, dihydro-5-(8-",[#6&!R](-&!@[#6&!R]#&!@[#6&!R]-&!@[#6&!R]#&!@[#6&!R]-&!@[#6&!R]#&!@[#6&!R]-&!@[#6&!R])-&!@[#6&R],ester(5); ether(5); alkyne(5); lactone(5); hydroxyl(4),O=C1CCCO1 (x4)
41231,5,0.025,D-Mannose | D-Galactose | D-Glucose | D-Galacturonic acid | D-Glucuronic acid,[#6&!R](-&!@[#6]1-&@[#6](-&@[#6](-&@[#6](-&@[#6](-&@[#8]-&@1)-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R],hydroxyl(5); ether(5); pyranose_sugar(5); carboxylic_acid(2),C1CCOCC1 (x5)
19661,4,0.0194,"γ-Terpinene | 1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8R)- | 1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8S)- | 1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5Z,8S)-",[#6&R]-&!@[#6&!R]-&!@[#6&!R],alkene(4),
41263,4,0.1311,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate | Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2R,4R)-rel- | Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2S,4R)-rel- | Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, 3-acetate, (1S,3S,5S)-",[#6&!R](-&!@[#6&!R])(=&!@[#8&!R])-&!@[#8&!R]-&!@[#6]1-&@[#6]-&@[#6](-&@[#6]-&@[#6]-&@1)-&!@[#6&!R],ester(4); ether(4); lactone(4),C1CC2CCC1C2 (x3)
41207,4,0.1215,"Stigmast-5-en-3-ol, (3β,24S)- | Stigmast-5-en-3-ol, (3β)- | Stigmast-5-en-3-ol, (3β,24ξ)- | Stigmast-5-en-3-ol",[#6&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R])-&!@[#6]1-&@[#6]-&@[#6]-&@[#6]2-&@[#6]-&@1(-&@[#6]-&@[#6]-&@[#6]1-&@[#6]-&@2-&@[#6]-&@[#6]=&@[#6]2-&@[#6]-&@1(-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@2)-&!@[#8&!R])-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R],hydroxyl(4); alkene(4),C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3[C@@H]2C1 (x4)
4022,4,0.6161,"9,12-Octadecadienoic acid, (9E,12E)- | 9,12-Octadecadienoic acid (9Z,12Z)- | 9,12-Octadecadienoic acid | myristic acid",[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R],carboxylic_acid(4); alkene(3),(none) (x4)
