joint_idx,brnpdb_id,common_name,community,community_id,size,hiv_active,hiv_inactive,hiv_active_rate
41127,9477.0,"Ergostane-2,3,6-triol, 25-methyl-, 2,3,6-tris(hydrogen sulfate)",14100,14100,1,0,0,
41128,7807.0,Amphotericin B,4056,4056,5,1,3,25.0
41129,7267.0,"β-D-Glucopyranoside, 2-(3,4-dihydroxyphenyl)ethyl 3-O-(6-deoxy-α-L-mannopyranosyl)-, 4-[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoate]",14101,14101,1,0,0,
41130,5797.0,"9,12-Octadecadienoic acid, (9E,12E)-",1016,1016,532,8,514,1.53
41131,7150.0,"9,12-Octadecadienoic acid (9Z,12Z)-",1016,1016,532,8,514,1.53
41132,3895.0,(E)-3-(4-Hydroxyphenyl)acrylic acid,5165,5165,801,22,776,2.76
41133,8239.0,"9,12-Octadecadienoic acid",1016,1016,532,8,514,1.53
41134,8749.0,"L-Cysteine, L-tyrosylglycyl-L-leucyl-L-seryl-L-lysylglycyl-L-cysteinyl-L-phenylalanylglycyl-L-leucyl-L-lysyl-L-leucyl-L-α-aspartyl-L-arginyl-L-isoleucylglycyl-L-seryl-L-methionyl-L-serylglycyl-L-leucylglycyl-, cyclic (7→23)-disulfide",14102,14102,1,0,0,
41135,9611.0,"Cycloocta[1,2-b:5,6-b′]diindole-6,13-dicarboxylic acid, 5,12-dihydro-, 6,13-dimethyl ester",14103,14103,1,0,0,
41136,7316.0,"5-Azulenemethanol, 1,2,3,4,5,6,7,8-octahydro-α,α,3,8-tetramethyl-, (3S,5R,8S)-",14104,14104,1,0,0,
41137,9610.0,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1S,2S,4R)-",14105,14105,2,0,0,
41138,6859.0,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-rel-",14105,14105,2,0,0,
41139,7287.0,"L-Galactose, 6-deoxy-",14126,14126,9,0,0,
41140,7374.0,"L-Mannose, 6-deoxy-",14126,14126,9,0,0,
41141,5488.0,"Urs-12-en-28-oic acid, 3-hydroxy-, (3β,19α,20β)-",14106,14106,308,8,294,2.65
41142,7619.0,Dodecanedioic acid,1016,1016,532,8,514,1.53
41143,6310.0,"Urs-12-en-28-oic acid, 3-hydroxy-, (3β)-",14106,14106,308,8,294,2.65
41144,3471.0,caffeic acid,5165,5165,801,22,776,2.76
41145,6940.0,"Olean-12-en-3-ol, (3β)-",14106,14106,308,8,294,2.65
41146,2144.0,myristic acid,1016,1016,532,8,514,1.53
