joint_idx,source,brnpdb_id,common_name,HIV_active,community
0,HIV,,,0.0,0
1,HIV,,,0.0,1
2,HIV,,,0.0,2
3,HIV,,,0.0,434
4,HIV,,,0.0,343
5,HIV,,,0.0,1830
6,HIV,,,0.0,5
7,HIV,,,0.0,3
8,HIV,,,0.0,6801
9,HIV,,,0.0,6801
10,HIV,,,0.0,1016
11,HIV,,,1.0,4
12,HIV,,,0.0,5
13,HIV,,,0.0,1016
14,HIV,,,0.0,6
15,HIV,,,0.0,5992
16,HIV,,,1.0,7
17,HIV,,,0.0,11296
18,HIV,,,0.0,8
19,HIV,,,0.0,8551
20,HIV,,,0.0,9
21,HIV,,,0.0,343
22,HIV,,,0.0,10
23,HIV,,,0.0,1016
24,HIV,,,0.0,1016
25,HIV,,,0.0,3309
26,HIV,,,0.0,11
27,HIV,,,0.0,5363
28,HIV,,,0.0,5165
29,HIV,,,0.0,5363
30,HIV,,,0.0,288
31,HIV,,,0.0,12
32,HIV,,,0.0,13
33,HIV,,,0.0,14
34,HIV,,,0.0,5424
35,HIV,,,0.0,343
36,HIV,,,0.0,5424
37,HIV,,,0.0,5424
38,HIV,,,0.0,3254
39,HIV,,,0.0,1016
40,HIV,,,0.0,15
41,HIV,,,0.0,1016
42,HIV,,,0.0,1016
43,HIV,,,0.0,16
44,HIV,,,0.0,5363
45,HIV,,,0.0,5363
46,HIV,,,0.0,17
47,HIV,,,0.0,18
48,HIV,,,0.0,5597
49,HIV,,,0.0,5597
50,HIV,,,0.0,12533
51,HIV,,,0.0,19
52,HIV,,,0.0,12238
53,HIV,,,0.0,1016
54,HIV,,,0.0,1342
55,HIV,,,0.0,604
56,HIV,,,0.0,20
57,HIV,,,0.0,441
58,HIV,,,0.0,1016
59,HIV,,,0.0,6801
60,HIV,,,0.0,441
61,HIV,,,0.0,21
62,HIV,,,0.0,434
63,HIV,,,0.0,22
64,HIV,,,0.0,32
65,HIV,,,0.0,205
66,HIV,,,0.0,23
67,HIV,,,0.0,13815
68,HIV,,,0.0,899
69,HIV,,,0.0,2546
70,HIV,,,0.0,1016
71,HIV,,,0.0,24
72,HIV,,,0.0,3138
73,HIV,,,0.0,25
74,HIV,,,0.0,521
75,HIV,,,0.0,10138
76,HIV,,,0.0,26
77,HIV,,,0.0,9265
78,HIV,,,0.0,5424
79,HIV,,,0.0,27
80,HIV,,,1.0,5165
81,HIV,,,0.0,5165
82,HIV,,,0.0,28
83,HIV,,,0.0,8146
84,HIV,,,0.0,29
85,HIV,,,0.0,521
86,HIV,,,0.0,236
87,HIV,,,0.0,6801
88,HIV,,,0.0,30
89,HIV,,,0.0,31
90,HIV,,,0.0,343
91,HIV,,,0.0,7356
92,HIV,,,0.0,98
93,HIV,,,0.0,8392
94,HIV,,,0.0,32
95,HIV,,,0.0,7337
96,HIV,,,0.0,7365
97,HIV,,,0.0,33
98,HIV,,,0.0,6801
99,HIV,,,0.0,5
100,HIV,,,0.0,3279
101,HIV,,,0.0,343
102,HIV,,,0.0,34
103,HIV,,,0.0,35
104,HIV,,,0.0,36
105,HIV,,,0.0,1016
106,HIV,,,0.0,343
107,HIV,,,0.0,6436
108,HIV,,,0.0,37
109,HIV,,,0.0,1176
110,HIV,,,0.0,38
111,HIV,,,0.0,39
112,HIV,,,0.0,1016
113,HIV,,,0.0,659
114,HIV,,,0.0,5992
115,HIV,,,0.0,40
116,HIV,,,0.0,41
117,HIV,,,0.0,343
118,HIV,,,0.0,5597
119,HIV,,,0.0,343
120,HIV,,,0.0,42
121,HIV,,,0.0,343
122,HIV,,,0.0,1258
123,HIV,,,0.0,343
124,HIV,,,0.0,343
125,HIV,,,0.0,343
126,HIV,,,0.0,343
127,HIV,,,0.0,1016
128,HIV,,,0.0,1729
129,HIV,,,0.0,12470
130,HIV,,,0.0,8959
131,HIV,,,0.0,5165
132,HIV,,,0.0,43
133,HIV,,,0.0,44
134,HIV,,,0.0,45
135,HIV,,,0.0,46
136,HIV,,,0.0,7356
137,HIV,,,0.0,47
138,HIV,,,0.0,129
139,HIV,,,0.0,9329
140,HIV,,,0.0,48
141,HIV,,,0.0,49
142,HIV,,,0.0,53
143,HIV,,,0.0,50
144,HIV,,,0.0,51
145,HIV,,,0.0,50
146,HIV,,,0.0,51
147,HIV,,,0.0,52
148,HIV,,,0.0,53
149,HIV,,,0.0,54
150,HIV,,,0.0,9886
151,HIV,,,0.0,55
152,HIV,,,0.0,56
153,HIV,,,0.0,57
154,HIV,,,0.0,57
155,HIV,,,0.0,58
156,HIV,,,0.0,59
157,HIV,,,0.0,343
158,HIV,,,0.0,1016
159,HIV,,,0.0,60
160,HIV,,,0.0,60
161,HIV,,,0.0,3254
162,HIV,,,0.0,5481
163,HIV,,,0.0,5424
164,HIV,,,0.0,288
165,HIV,,,0.0,61
166,HIV,,,0.0,719
167,HIV,,,0.0,5
168,HIV,,,0.0,62
169,HIV,,,0.0,63
170,HIV,,,0.0,64
171,HIV,,,0.0,343
172,HIV,,,0.0,2546
173,HIV,,,0.0,65
174,HIV,,,0.0,66
175,HIV,,,0.0,67
