consensus_rank,brnpdb_id,common_name,community,mlp_score,lp_score,consensus_score,mlp_rank,lp_rank
1,9477,"Ergostane-2,3,6-triol, 25-methyl-, 2,3,6-tris(hydrogen sulfate)",22705,0.15893634,0.84533393,0.9646888420423254,1,7
2,7807,Amphotericin B,41023,0.11591128,0.641366,0.715841069372079,7,24
3,7267,"β-D-Glucopyranoside, 2-(3,4-dihydroxyphenyl)ethyl 3-O-(6-deoxy-α-L-mannopyranosyl)-, 4-[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoate]",28309,0.08673541,0.8080888,0.7147756194977033,23,8
4,5797,"9,12-Octadecadienoic acid, (9E,12E)-",4022,0.055760734,0.90956986,0.672129884865492,32,1
5,7150,"9,12-Octadecadienoic acid (9Z,12Z)-",4022,0.055760734,0.90956986,0.672129884865492,31,2
6,3895,(E)-3-(4-Hydroxyphenyl)acrylic acid,8118,0.058324035,0.8861693,0.6674119789495007,30,3
7,8239,"9,12-Octadecadienoic acid",4022,0.055760734,0.872014,0.6514850385202096,33,6
8,8749,"L-Cysteine, L-tyrosylglycyl-L-leucyl-L-seryl-L-lysylglycyl-L-cysteinyl-L-phenylalanylglycyl-L-leucyl-L-lysyl-L-leucyl-L-α-aspartyl-L-arginyl-L-isoleucylglycyl-L-seryl-L-methionyl-L-serylglycyl-L-leucylglycyl-, cyclic (7→23)-disulfide",36713,0.069274485,0.7278219,0.6151649676878468,26,14
9,9611,"Cycloocta[1,2-b:5,6-b′]diindole-6,13-dicarboxylic acid, 5,12-dihydro-, 6,13-dimethyl ester",12358,0.045167353,0.7719448,0.5628124497964816,38,12
10,7316,"5-Azulenemethanol, 1,2,3,4,5,6,7,8-octahydro-α,α,3,8-tetramethyl-, (3S,5R,8S)-",18203,0.033718646,0.8075108,0.5459818954202592,63,9
11,9610,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1S,2S,4R)-",31128,0.030102955,0.79472965,0.5274660680988811,75,10
12,6859,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-rel-",31128,0.030102955,0.7840028,0.5215694072310726,74,11
13,7287,"L-Galactose, 6-deoxy-",38940,0.013188596,0.87925464,0.5201801003741984,120,4
14,7374,"L-Mannose, 6-deoxy-",38940,0.013188596,0.87925464,0.5201801003741984,119,5
15,5488,"Urs-12-en-28-oic acid, 3-hydroxy-, (3β,19α,20β)-",41171,0.034244277,0.72496706,0.5022770875756433,59,15
16,7619,Dodecanedioic acid,18203,0.034646746,0.72154313,0.5016738785065504,54,16
17,6310,"Urs-12-en-28-oic acid, 3-hydroxy-, (3β)-",41171,0.034244277,0.7138629,0.4961730154816098,58,18
18,3471,caffeic acid,33891,0.15209632,0.0,0.47826387232537954,2,117
19,6940,"Olean-12-en-3-ol, (3β)-",507,0.02353352,0.74247575,0.4778652903547943,100,13
20,2144,myristic acid,4022,0.032368332,0.6743881,0.46851195396711937,69,22
21,8699,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aS,4S,4aR,7S,7aR,7bR)-",41217,0.024509136,0.7143887,0.4655258472116762,93,17
22,7858,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aS,7R,7aS,7bS)-",41217,0.024509136,0.6964706,0.4556760815213311,94,19
23,122,Quercetin,41134,0.14421028,0.0,0.45320371573414675,3,53
24,5244,"1H-Cycloprop[e]azulen-7-ol, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,7S,7aS,7bR)-",34166,0.024029538,0.6930099,0.45224963842159804,98,20
25,7198,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aR,7R,7aS,7bS)-",41217,0.024509136,0.6826553,0.4480816676079237,92,21
26,5806,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7R,7aS,7bS)-",41217,0.024509136,0.66861296,0.440362447448188,91,23
27,6621,"Urs-12-en-28-oic acid, 3-hydroxy-, (3α)-",41171,0.034244277,0.60298795,0.4352239037773148,57,26
28,7674,Octadecanal,17680,0.036498126,0.5813607,0.43049743219846875,52,28
29,6397,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-",31868,0.028587228,0.61802137,0.42551103327790657,76,25
30,9290,"Card-20(22)-enolide, 3-[(2,6-dideoxy-4-O-β-D-glucopyranosyl-β-D-ribo-hexopyranosyl)oxy]-14-hydroxy-, (3β,5β)-",34636,0.032817375,0.5888805,0.42293450113166753,67,27
31,1497,hexadecanoic acid,38755,0.03405926,0.55488265,0.4081919760385517,60,32
32,2142,capric acid,18500,0.027653128,0.55784667,0.38946400465779685,79,31
33,1223,3-O-methylquercetin,41134,0.12293548,0.0,0.3855969296352734,4,52
34,9023,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2E)-",41249,0.11810859,0.0,0.37025810060972253,5,90
35,7246,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2Z)-",41249,0.11810859,0.0,0.37025810060972253,6,134
36,2143,lauric acid,6846,0.03029103,0.49658498,0.36417050840591525,72,34
37,7187,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-β-D-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",36242,0.11470211,0.0,0.3594330322325772,8,137
38,6560,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-α-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",36242,0.11470209,0.0,0.3594329686768342,9,100
39,10052,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-",27879,0.112716295,0.0,0.35312253483956135,10,141
40,6662,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-, (2E)-",27879,0.112716295,0.0,0.35312253483956135,11,146
41,5456,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9S)-",24793,0.013378347,0.5609905,0.3458299850069046,117,29
42,5308,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)-",24793,0.013378347,0.55990434,0.3452329115726552,116,30
43,9546,"4H-1-Benzopyran-4-one, 3-(α-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",41230,0.107662335,0.0,0.3370621256854325,14,80
44,9918,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(D-xylopyranosyloxy)-",41230,0.107662335,0.0,0.3370621256854325,12,72
45,5353,"4H-1-Benzopyran-4-one, 3-(β-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",41230,0.107662335,0.0,0.3370621256854325,17,115
46,9756,"4H-1-Benzopyran-4-one, 3-(arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",41230,0.107662335,0.0,0.3370621256854325,16,74
47,5412,"4H-1-Benzopyran-4-one, 3-(β-D-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",41230,0.107662335,0.0,0.3370621256854325,15,114
48,8078,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(β-D-xylopyranosyloxy)-",41230,0.107662335,0.0,0.3370621256854325,13,62
49,10017,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)-",24793,0.013378347,0.53639674,0.3323105396726012,114,33
50,9216,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-glucopyranosyloxy)-5,7-dihydroxy-",36713,0.09819203,0.0,0.30696751213202234,18,88
51,7515,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-galactopyranosyloxy)-5,7-dihydroxy-",36713,0.09819201,0.0,0.3069674485762793,19,95
52,5243,"4H-1-Benzopyran-4-one, 3-(β-D-allopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",36713,0.09819201,0.0,0.3069674485762793,20,118
53,5327,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aR,7bS)-",41217,0.026140405,0.37299317,0.28304100386873515,84,35
54,3470,Ferulic acid,7372,0.09015776,0.0,0.28143631215126597,21,116
55,7431,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aS,7R,7aR,7bS)-",41217,0.026140405,0.36104116,0.27647085982284514,85,36
56,5437,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-",41217,0.026140405,0.3579713,0.27478332589334575,83,37
57,8883,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-6-β-D-glucopyranosyl-5,7-dihydroxy-",36242,0.086861715,0.0,0.2709621826982389,22,70
58,7602,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aS,7bS)-rel-",41217,0.026140405,0.34759685,0.2690803829660153,82,38
59,10222,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5-hydroxy-3,7-dimethoxy-6-methyl-",12690,0.08384522,0.0,0.2613764036435206,24,83
60,9109,"β-D-Glucopyranoside, 4-[[[(2E)-3-(3,4-dihydroxyphenyl)-1-oxo-2-propen-1-yl]oxy]methyl]-2-hydroxyphenyl",39548,0.07160422,0.0,0.22247711111732485,25,89
61,6523,"4H-1-Benzopyran-4-one, 6-β-D-glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-",18073,0.06296183,0.0,0.19501343521376563,27,101
62,6361,"1H-Naphtho[2,1-a]xanthene-2,10-diol, 2,3,4,4a,4b,5,6,6a,12,12a,12b,13,14,14a-tetradecahydro-1,1,4a,6a,8,12b-hexamethyl-, (2S,4aR,4bS,6aS,12aS,12bS,14aR)-",37974,0.06197325,0.0,0.1918719383911575,28,103
63,3887,4-nerolidylcathecol,21499,0.06004415,0.0,0.18574166919646062,29,94
64,9519,"9H-Xanthen-9-one, 2-β-D-glucopyranosyl-1,3,6,7-tetrahydroxy-",36316,0.05327315,0.0,0.1642248723910631,34,81
65,6009,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, (1S,4aR,5S,6S,8aR)-",4141,0.05128019,0.0,0.15789166970884705,35,106
66,6665,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, methyl ester, [1S-(1α,4aβ,5β,6β,8aα)]-",4141,0.051266562,0.0,0.15784836282554118,36,145
67,7030,"1H-Cycloprop[e]azulene, decahydro-1,1,4-trimethyl-7-methylene-, (1aR,4R,4aR,7aR,7bR)-",31868,0.030258406,0.11698933,0.15539916450607455,73,42
68,3892,Kaempferide,12938,0.04632405,0.0,0.14214211169391527,37,125
69,6760,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate",41263,0.043012552,0.0,0.13161887589603014,41,142
70,8833,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2R,4R)-rel-",41263,0.043012552,0.0,0.13161887589603014,40,60
71,9574,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2S,4R)-rel-",41263,0.043012552,0.0,0.13161887589603014,39,79
72,6597,"Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, 3-acetate, (1S,3S,5S)-",41263,0.042315915,0.0,0.12940511178790406,42,120
73,8237,"2(5H)-Oxepinone, 7-[6-(acetyloxy)-1-hydroxy-4-hexen-1-yl]-6,7-dihydro-7-methyl-3-(4-methyl-3-penten-1-yl)-",13658,0.04202489,0.0,0.1284802962820274,43,59
74,9647,"5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1R,4R,6R,10S)-",24793,0.0118015595,0.1745844,0.12840784306929776,122,39
75,9283,"5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1S,4R,6R,10R)-",24793,0.0118015595,0.17458436,0.12840782108088225,123,40
76,5613,"4H-1-Benzopyran-4-one, 5,6,7-trihydroxy-3-methoxy-2-(4-methoxyphenyl)-",21491,0.04195856,0.0,0.12826951366024303,44,111
77,1915,tricyclene,41149,0.04147248,0.0,0.1267248548814559,45,102
78,9596,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-rel-",41149,0.034371167,0.038467724,0.12530450112642882,55,45
79,6585,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-",41149,0.034371167,0.03846772,0.12530449892758727,56,46
