community_id,n_brnpdb,total_vertices,hiv_active,hiv_inactive,f_i,f_total,threshold,cutoff,community_class,brnpdb_prediction
1,1,1261,601,659,0.476984126984127,0.03508643956524911,2.0,0.07017287913049822,active,HIV_ACTIVE
18,1,1625,168,1456,0.10344827586206896,0.03508643956524911,2.0,0.07017287913049822,active,HIV_ACTIVE
20,34,2388,100,2254,0.04248088360237893,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
10,11,2430,52,2367,0.02149648615130219,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
15,3,3424,65,3356,0.01900029231218942,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
12,12,2208,41,2155,0.018670309653916212,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
17,21,1953,34,1898,0.017598343685300208,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
2,8,1639,26,1605,0.01594114040465972,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
3,1,2084,33,2050,0.01584253480556889,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
6,1,2535,30,2504,0.011838989739542225,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
14,26,1737,19,1692,0.011104617182933957,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
19,2,3084,33,3049,0.010707332900713823,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
8,2,1754,17,1735,0.009703196347031963,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
16,9,1139,9,1121,0.007964601769911504,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
11,15,1036,5,1016,0.004897159647404506,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
