community_id,n_brnpdb,total_vertices,hiv_active,hiv_inactive,f_i,f_total,threshold,cutoff,community_class,brnpdb_prediction
11,1,1485,678,806,0.4568733153638814,0.03508643956524911,2.0,0.07017287913049822,active,HIV_ACTIVE
17,7,668,53,608,0.08018154311649017,0.03508643956524911,2.0,0.07017287913049822,active,HIV_ACTIVE
16,1,1166,87,1078,0.07467811158798283,0.03508643956524911,2.0,0.07017287913049822,active,HIV_ACTIVE
24,1,2137,82,2054,0.03838951310861423,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
9,2,1241,37,1202,0.02986279257465698,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
2,35,1982,55,1892,0.02824858757062147,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
7,1,1776,38,1737,0.02140845070422535,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
6,21,1481,31,1429,0.021232876712328767,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
3,13,1158,24,1121,0.02096069868995633,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
13,9,1325,25,1291,0.018996960486322188,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
4,8,2289,43,2238,0.018851380973257344,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
12,7,297,5,285,0.017241379310344827,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
20,1,2207,33,2173,0.014959202175883953,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
8,1,1813,23,1789,0.012693156732891833,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
15,2,2878,35,2841,0.012169680111265646,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
21,1,1740,20,1719,0.011500862564692352,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
1,9,1300,12,1279,0.009295120061967466,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
22,2,2229,20,2207,0.00898069151324652,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
25,25,1870,13,1832,0.007046070460704607,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
