brnpdb_id,name,micro_community,micro_size,micro_hiv_rate,micro_n_active,macro_community,macro_family
41273,Benzyl benzoate,41273,9,0.6667,6,13,Pentoses livres + sesquiterpenos macrociclicos end
41258,Arabinose,41273,9,0.6667,6,13,Pentoses livres + sesquiterpenos macrociclicos end
41230,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl",41230,9,0.6667,6,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41234,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-meth",41273,9,0.6667,6,13,Pentoses livres + sesquiterpenos macrociclicos end
41167,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (",41230,9,0.6667,6,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41246,"α-L-Mannopyranose, 6-deoxy-",41273,9,0.6667,6,13,Pentoses livres + sesquiterpenos macrociclicos end
41168,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (",41230,9,0.6667,6,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41228,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methyl",41273,9,0.6667,6,13,Pentoses livres + sesquiterpenos macrociclicos end
41262,D-Galacturonic acid,41230,9,0.6667,6,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41181,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylen",41273,9,0.6667,6,13,Pentoses livres + sesquiterpenos macrociclicos end
41270,"1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-",41230,9,0.6667,6,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41272,"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-",41230,9,0.6667,6,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41210,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-",38940,7,0.5714,4,12,Hexoses e acidos uronicoslivres
41215,"Cyclobuta[1,2:3,4]dicyclopentene, decahydro-3a-methyl-6-meth",38940,7,0.5714,4,12,Hexoses e acidos uronicoslivres
41198,"Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, 3-",41231,10,0.5,5,12,Hexoses e acidos uronicoslivres
41248,"4,6-Cyclopentacycloundecenediol, 1,2,3,3a,4,5,6,9,10,12a-dec",41231,10,0.5,5,12,Hexoses e acidos uronicoslivres
41190,"9H-Xanthen-9-one, 2-β-D-glucopyranosyl-1,3,6,7-tetrahydroxy-",41231,10,0.5,5,12,Hexoses e acidos uronicoslivres
41231,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl",41231,10,0.5,5,12,Hexoses e acidos uronicoslivres
41247,"α-D-Galactopyranose, 6-deoxy-",41231,10,0.5,5,12,Hexoses e acidos uronicoslivres
41169,"4H-1-Benzopyran-4-one, 3-(α-L-arabinopyranosyloxy)-2-(3,4-di",41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41221,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (",41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41166,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl",41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41206,"Stigmast-5-en-3-ol, (3β,24S)-",41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41217,"2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-,",41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41177,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-galact",41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41241,"1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-,",41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41227,Linalyl acetate,41217,21,0.4286,9,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41226,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 8-[(1R)-1,5-di",41023,5,0.4,2,11,Macrolida polienica (Amphotericin B)
41176,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-glucop",4022,14,0.3571,5,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41233,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-meth",4022,14,0.3571,5,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41204,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7",4022,14,0.3571,5,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41153,"Urs-12-en-28-oic acid, 3-hydroxy-, (3α)-",4022,14,0.3571,5,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41182,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylen",41171,13,0.3077,4,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41193,"1H-Cycloprop[e]azulene, decahydro-1,1,4-trimethyl-7-methylen",41171,13,0.3077,4,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41171,"4H-1-Benzopyran-4-one, 3-(β-L-arabinopyranosyloxy)-2-(3,4-di",41171,13,0.3077,4,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41208,"Stigmast-5-en-3-ol, (3β,24ξ)-",41249,7,0.2857,2,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41249,"Bicyclo[8.1.0]undeca-2,6-diene, 3,7,11,11-tetramethyl-, (1S,",41249,7,0.2857,2,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41265,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5",18465,24,0.25,6,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41250,limonene,18465,24,0.25,6,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41179,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylen",18465,24,0.25,6,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41235,β-Pinene,35267,8,0.25,2,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41218,"2(3H)-Furanone, 5-(1,8-dihydroxy-2,4,6-octatriyn-1-yl)dihydr",18465,24,0.25,6,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41219,Tetradecanal,18465,24,0.25,6,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41203,tricyclene,35267,8,0.25,2,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41239,Linalool,41207,22,0.2273,5,17,Fitoesterois C28-C29 + acidos cinnamicos prenilado
