community_id,n_brnpdb,total_vertices,hiv_active,hiv_inactive
41217,8,21,1,12
24793,7,31,0,24
41230,6,9,0,3
41273,6,9,0,3
18465,5,24,1,18
41231,5,10,0,5
41263,4,25,0,21
4022,4,14,1,9
41207,4,22,1,17
19661,4,41,0,37
36713,4,33,1,28
36242,3,33,0,30
31868,3,29,1,25
41171,3,13,1,9
41149,3,30,0,27
33028,3,33,1,29
27879,2,9,0,7
29867,2,54,1,51
31128,2,46,4,40
41249,2,7,0,5
32939,2,29,0,27
33410,2,38,0,36
35267,2,8,0,6
41129,2,33,0,31
41134,2,9,0,7
41271,2,11,0,9
38940,2,7,2,3
507,2,35,1,32
4141,2,20,0,18
6846,2,108,4,102
17189,2,16,0,14
18203,2,40,1,37
19165,1,25,0,24
41023,1,5,1,3
37974,1,48,0,47
38009,1,39,1,37
38506,1,15,0,14
38755,1,12,0,11
12358,1,18,2,15
39001,1,30,0,29
39548,1,49,1,47
9691,1,17,0,16
11482,1,44,0,43
36316,1,83,2,80
9416,1,24,0,23
9065,1,7,0,6
8118,1,9,1,7
7372,1,15,0,14
7170,1,28,1,26
6356,1,15,0,14
4454,1,29,0,28
12690,1,7,0,6
12938,1,20,0,19
12862,1,20,0,19
20197,1,6,0,5
21491,1,7,0,6
21499,1,11,0,10
22629,1,25,2,22
22705,1,21,1,19
24447,1,25,0,24
18958,1,20,0,19
26373,1,19,0,18
18500,1,16,0,15
28297,1,15,0,14
28309,1,12,0,11
18142,1,13,0,12
18073,1,19,0,18
17680,1,15,0,14
32685,1,27,0,26
13658,1,24,0,23
13403,1,8,0,7
33891,1,12,0,11
34166,1,33,1,31
34636,1,14,0,13
26612,1,9,0,8
