label,community_id,size,n_active,n_inactive,hiv_rate,intra_edges
0,19,20,0,20,0.0,97
1,20,5,0,5,0.0,10
2,31,7,4,3,0.5714,21
3,39,8,0,8,0.0,15
4,120,22,0,22,0.0,97
5,131,12,0,12,0.0,45
6,148,4,0,4,0.0,6
7,155,8,0,8,0.0,25
8,160,3,0,3,0.0,3
9,162,11,0,11,0.0,33
10,184,14,0,14,0.0,50
11,189,5,0,5,0.0,9
12,196,9,1,8,0.1111,26
13,223,29,2,27,0.069,117
14,225,4,0,4,0.0,6
15,229,9,0,9,0.0,26
16,240,16,2,14,0.125,72
17,270,10,1,9,0.1,36
18,280,5,0,5,0.0,10
19,318,6,0,6,0.0,15
20,366,17,0,17,0.0,72
21,380,24,0,24,0.0,91
22,454,15,0,15,0.0,53
23,491,16,0,16,0.0,62
24,507,35,3,32,0.0857,161
25,508,19,1,18,0.0526,76
26,520,16,0,16,0.0,56
27,521,12,2,10,0.1667,34
28,523,9,0,9,0.0,21
29,536,6,0,6,0.0,15
30,538,31,2,29,0.0645,137
31,554,24,4,20,0.1667,112
32,558,23,0,23,0.0,108
33,567,16,0,16,0.0,56
34,571,10,3,7,0.3,37
35,608,9,0,9,0.0,20
36,666,7,1,6,0.1429,16
37,683,7,1,6,0.1429,17
38,767,11,0,11,0.0,35
39,780,12,0,12,0.0,35
40,782,12,1,11,0.0833,36
41,784,9,5,4,0.5556,29
42,793,16,0,16,0.0,47
43,810,27,0,27,0.0,119
44,844,7,0,7,0.0,18
45,863,21,0,21,0.0,83
46,875,7,0,7,0.0,17
47,888,15,1,14,0.0667,60
48,903,7,0,7,0.0,19
49,950,11,0,11,0.0,31
50,967,8,0,8,0.0,27
51,1000,23,0,23,0.0,70
52,1011,11,0,11,0.0,36
53,1075,9,0,9,0.0,22
54,1092,9,0,9,0.0,27
55,1103,8,0,8,0.0,24
56,1131,16,0,16,0.0,62
57,1144,11,0,11,0.0,26
58,1163,12,0,12,0.0,33
59,1212,22,1,21,0.0455,95
60,1213,6,1,5,0.1667,14
61,1245,12,0,12,0.0,43
62,1246,13,0,13,0.0,36
63,1262,34,2,32,0.0588,166
64,1263,6,0,6,0.0,15
65,1341,3,0,3,0.0,3
66,1344,31,0,31,0.0,139
67,1358,17,0,17,0.0,59
68,1370,24,0,24,0.0,118
69,1379,22,1,21,0.0455,80
70,1417,14,0,14,0.0,42
71,1420,38,0,38,0.0,153
72,1450,8,0,8,0.0,23
73,1474,8,0,8,0.0,17
74,1495,17,0,17,0.0,63
75,1503,23,0,23,0.0,78
76,1523,25,0,25,0.0,94
77,1536,5,0,5,0.0,9
78,1542,39,0,39,0.0,168
