Id,Label,0,1,2,3,4,5,6,7,modularity_class
0,0,0,HIV,0,inactive,HIV_0,22780,,,11
1,1,1,HIV,0,inactive,HIV_1,4620,,,15
2,2,2,HIV,0,inactive,HIV_2,18591,,,20
3,3,3,HIV,0,inactive,HIV_3,32439,,,16
4,4,4,HIV,0,inactive,HIV_4,18203,,,20
5,5,5,HIV,0,inactive,HIV_5,4616,,,9
6,6,6,HIV,0,inactive,HIV_6,5292,,,9
7,7,7,HIV,0,inactive,HIV_7,31271,,,9
8,8,8,HIV,0,inactive,HIV_8,5292,,,9
9,9,9,HIV,0,inactive,HIV_9,26905,,,10
10,10,10,HIV,0,inactive,HIV_10,33566,,,15
11,11,11,HIV,0,inactive,HIV_11,32509,,,8
12,12,12,HIV,0,inactive,HIV_12,16159,,,19
13,13,13,HIV,0,inactive,HIV_13,33566,,,15
14,14,14,HIV,0,inactive,HIV_14,29782,,,15
15,15,15,HIV,0,inactive,HIV_15,30075,,,3
16,16,16,HIV,0,inactive,HIV_16,7065,,,2
17,17,17,HIV,0,inactive,HIV_17,21333,,,0
18,18,18,HIV,0,inactive,HIV_18,24517,,,7
19,19,19,HIV,0,inactive,HIV_19,19,,,9
20,20,20,HIV,0,inactive,HIV_20,20,,,5
21,21,21,HIV,0,inactive,HIV_21,1890,,,10
22,22,22,HIV,0,inactive,HIV_22,4061,,,12
23,23,23,HIV,0,inactive,HIV_23,4061,,,16
24,24,24,HIV,0,inactive,HIV_24,38009,,,12
25,25,25,HIV,0,inactive,HIV_25,3226,,,19
26,26,26,HIV,0,inactive,HIV_26,5796,,,12
27,27,27,HIV,0,inactive,HIV_27,15965,,,19
28,28,28,HIV,0,inactive,HIV_28,3279,,,0
29,29,29,HIV,0,inactive,HIV_29,36063,,,12
30,30,30,HIV,0,inactive,HIV_30,21682,,,13
31,31,31,HIV,1,active,HIV_31,31,,,1
32,32,32,HIV,0,inactive,HIV_32,11805,,,18
33,33,33,HIV,0,inactive,HIV_33,27376,,,19
34,34,34,HIV,1,active,HIV_34,20622,,,5
35,35,35,HIV,0,inactive,HIV_35,32412,,,6
36,36,36,HIV,0,inactive,HIV_36,14834,,,8
37,37,37,HIV,0,inactive,HIV_37,38506,,,16
38,38,38,HIV,0,inactive,HIV_38,33677,,,5
39,39,39,HIV,0,inactive,HIV_39,39,,,6
40,40,40,HIV,0,inactive,HIV_40,20184,,,6
41,41,41,HIV,0,inactive,HIV_41,2270,,,12
42,42,42,HIV,0,inactive,HIV_42,18759,,,19
43,43,43,HIV,0,inactive,HIV_43,26161,,,12
44,44,44,HIV,0,inactive,HIV_44,25528,,,10
45,45,45,HIV,0,inactive,HIV_45,39579,,,10
46,46,46,HIV,0,inactive,HIV_46,29461,,,0
47,47,47,HIV,0,inactive,HIV_47,39470,,,6
48,48,48,HIV,1,active,HIV_48,23620,,,1
49,49,49,HIV,0,inactive,HIV_49,454,,,6
50,50,50,HIV,0,inactive,HIV_50,29461,,,0
51,51,51,HIV,0,inactive,HIV_51,37601,,,20
52,52,52,HIV,0,inactive,HIV_52,29867,,,14
53,53,53,HIV,0,inactive,HIV_53,38563,,,20
54,54,54,HIV,0,inactive,HIV_54,18615,,,13
55,55,55,HIV,0,inactive,HIV_55,27012,,,10
56,56,56,HIV,0,inactive,HIV_56,31082,,,3
57,57,57,HIV,0,inactive,HIV_57,36242,,,2
58,58,58,HIV,0,inactive,HIV_58,36242,,,2
59,59,59,HIV,0,inactive,HIV_59,38009,,,12
60,60,60,HIV,0,inactive,HIV_60,19845,,,6
61,61,61,HIV,0,inactive,HIV_61,14635,,,6
62,62,62,HIV,0,inactive,HIV_62,39548,,,2
63,63,63,HIV,0,inactive,HIV_63,11482,,,11
64,64,64,HIV,0,inactive,HIV_64,7108,,,11
65,65,65,HIV,0,inactive,HIV_65,13453,,,14
66,66,66,HIV,0,inactive,HIV_66,23884,,,6
67,67,67,HIV,0,inactive,HIV_67,15476,,,12
68,68,68,HIV,0,inactive,HIV_68,8546,,,17
69,69,69,HIV,0,inactive,HIV_69,34849,,,20
70,70,70,HIV,0,inactive,HIV_70,7052,,,7
71,71,71,HIV,0,inactive,HIV_71,26913,,,10
72,72,72,HIV,0,inactive,HIV_72,28901,,,8
73,73,73,HIV,0,inactive,HIV_73,12772,,,3
74,74,74,HIV,0,inactive,HIV_74,15804,,,14
75,75,75,HIV,0,inactive,HIV_75,37767,,,19
76,76,76,HIV,0,inactive,HIV_76,35281,,,16
77,77,77,HIV,0,inactive,HIV_77,12938,,,8
78,78,78,HIV,0,inactive,HIV_78,7023,,,11
79,79,79,HIV,0,inactive,HIV_79,26654,,,11
80,80,80,HIV,0,inactive,HIV_80,39735,,,15
81,81,81,HIV,0,inactive,HIV_81,4061,,,16
82,82,82,HIV,0,inactive,HIV_82,6485,,,21
83,83,83,HIV,0,inactive,HIV_83,40405,,,1
84,84,84,HIV,0,inactive,HIV_84,40411,,,1
85,85,85,HIV,1,active,HIV_85,40411,,,1
86,86,86,HIV,1,active,HIV_86,2191,,,1
87,87,87,HIV,0,inactive,HIV_87,32605,,,15
88,88,88,HIV,0,inactive,HIV_88,34656,,,16
89,89,89,HIV,0,inactive,HIV_89,26781,,,8
90,90,90,HIV,0,inactive,HIV_90,12985,,,6
91,91,91,HIV,0,inactive,HIV_91,2934,,,7
92,92,92,HIV,0,inactive,HIV_92,35190,,,19
93,93,93,HIV,0,inactive,HIV_93,37614,,,2
94,94,94,HIV,0,inactive,HIV_94,11593,,,6
95,95,95,HIV,0,inactive,HIV_95,4870,,,10
96,96,96,HIV,0,inactive,HIV_96,11280,,,4
97,97,97,HIV,0,inactive,HIV_97,41047,,,9
98,98,98,HIV,0,inactive,HIV_98,1773,,,9
99,99,99,HIV,0,inactive,HIV_99,28448,,,10
100,100,100,HIV,0,inactive,HIV_100,3855,,,9
101,101,101,HIV,0,inactive,HIV_101,27997,,,9
102,102,102,HIV,0,inactive,HIV_102,16759,,,9
103,103,103,HIV,0,inactive,HIV_103,35190,,,19
104,104,104,HIV,0,inactive,HIV_104,9517,,,6
105,105,105,HIV,0,inactive,HIV_105,39075,,,15
