Id,Label,0,1,2,3,4,5,6,7,modularity_class,degree
0,0,0,HIV,0,inactive,HIV_0,22780,,,14,21
1,1,1,HIV,0,inactive,HIV_1,4620,,,4,12
2,2,2,HIV,0,inactive,HIV_2,18591,,,8,12
3,3,3,HIV,0,inactive,HIV_3,32439,,,17,12
4,4,4,HIV,0,inactive,HIV_4,18203,,,8,14
5,5,5,HIV,0,inactive,HIV_5,4616,,,16,11
6,6,6,HIV,0,inactive,HIV_6,5292,,,16,15
7,7,7,HIV,0,inactive,HIV_7,31271,,,16,10
8,8,8,HIV,0,inactive,HIV_8,5292,,,16,14
9,9,9,HIV,0,inactive,HIV_9,26905,,,9,10
10,10,10,HIV,0,inactive,HIV_10,33566,,,4,11
11,11,11,HIV,0,inactive,HIV_11,32509,,,6,20
12,12,12,HIV,0,inactive,HIV_12,16159,,,5,10
13,13,13,HIV,0,inactive,HIV_13,33566,,,13,13
14,14,14,HIV,0,inactive,HIV_14,29782,,,4,14
15,15,15,HIV,0,inactive,HIV_15,30075,,,4,16
16,16,16,HIV,0,inactive,HIV_16,7065,,,9,11
17,17,17,HIV,0,inactive,HIV_17,21333,,,13,15
18,18,18,HIV,0,inactive,HIV_18,24517,,,22,17
19,19,19,HIV,0,inactive,HIV_19,19,,,16,16
20,20,20,HIV,0,inactive,HIV_20,20,,,9,13
21,21,21,HIV,0,inactive,HIV_21,1890,,,9,20
22,22,22,HIV,0,inactive,HIV_22,4061,,,14,13
23,23,23,HIV,0,inactive,HIV_23,4061,,,17,18
24,24,24,HIV,0,inactive,HIV_24,38009,,,14,18
25,25,25,HIV,0,inactive,HIV_25,3226,,,5,17
26,26,26,HIV,0,inactive,HIV_26,5796,,,2,10
27,27,27,HIV,0,inactive,HIV_27,15965,,,6,14
28,28,28,HIV,0,inactive,HIV_28,3279,,,13,11
29,29,29,HIV,0,inactive,HIV_29,36063,,,2,16
30,30,30,HIV,0,inactive,HIV_30,21682,,,16,19
31,31,31,HIV,1,active,HIV_31,31,,,3,10
32,32,32,HIV,0,inactive,HIV_32,11805,,,24,12
33,33,33,HIV,0,inactive,HIV_33,27376,,,6,16
34,34,34,HIV,1,active,HIV_34,20622,,,1,11
35,35,35,HIV,0,inactive,HIV_35,32412,,,1,13
36,36,36,HIV,0,inactive,HIV_36,14834,,,6,14
37,37,37,HIV,0,inactive,HIV_37,38506,,,17,10
38,38,38,HIV,0,inactive,HIV_38,33677,,,21,11
39,39,39,HIV,0,inactive,HIV_39,39,,,6,13
40,40,40,HIV,0,inactive,HIV_40,20184,,,12,12
41,41,41,HIV,0,inactive,HIV_41,2270,,,3,15
42,42,42,HIV,0,inactive,HIV_42,18759,,,5,13
43,43,43,HIV,0,inactive,HIV_43,26161,,,10,10
44,44,44,HIV,0,inactive,HIV_44,25528,,,18,12
45,45,45,HIV,0,inactive,HIV_45,39579,,,5,11
46,46,46,HIV,0,inactive,HIV_46,29461,,,13,14
47,47,47,HIV,0,inactive,HIV_47,39470,,,1,14
48,48,48,HIV,1,active,HIV_48,23620,,,3,17
49,49,49,HIV,0,inactive,HIV_49,454,,,1,17
50,50,50,HIV,0,inactive,HIV_50,29461,,,13,18
51,51,51,HIV,0,inactive,HIV_51,37601,,,20,12
52,52,52,HIV,0,inactive,HIV_52,29867,,,2,12
53,53,53,HIV,0,inactive,HIV_53,38563,,,8,10
54,54,54,HIV,0,inactive,HIV_54,18615,,,16,17
55,55,55,HIV,0,inactive,HIV_55,27012,,,9,11
56,56,56,HIV,0,inactive,HIV_56,31082,,,4,14
57,57,57,HIV,0,inactive,HIV_57,36242,,,9,12
58,58,58,HIV,0,inactive,HIV_58,36242,,,9,15
59,59,59,HIV,0,inactive,HIV_59,38009,,,2,18
60,60,60,HIV,0,inactive,HIV_60,19845,,,1,13
61,61,61,HIV,0,inactive,HIV_61,14635,,,1,11
62,62,62,HIV,0,inactive,HIV_62,39548,,,9,11
63,63,63,HIV,0,inactive,HIV_63,11482,,,14,12
64,64,64,HIV,0,inactive,HIV_64,7108,,,14,14
65,65,65,HIV,0,inactive,HIV_65,13453,,,8,14
66,66,66,HIV,0,inactive,HIV_66,23884,,,1,15
67,67,67,HIV,0,inactive,HIV_67,15476,,,10,12
68,68,68,HIV,0,inactive,HIV_68,8546,,,23,11
69,69,69,HIV,0,inactive,HIV_69,34849,,,8,14
70,70,70,HIV,0,inactive,HIV_70,7052,,,4,11
71,71,71,HIV,0,inactive,HIV_71,26913,,,9,10
72,72,72,HIV,0,inactive,HIV_72,28901,,,22,12
73,73,73,HIV,0,inactive,HIV_73,12772,,,15,14
74,74,74,HIV,0,inactive,HIV_74,15804,,,2,17
75,75,75,HIV,0,inactive,HIV_75,37767,,,5,16
76,76,76,HIV,0,inactive,HIV_76,35281,,,17,13
77,77,77,HIV,0,inactive,HIV_77,12938,,,11,11
78,78,78,HIV,0,inactive,HIV_78,7023,,,14,11
79,79,79,HIV,0,inactive,HIV_79,26654,,,14,18
80,80,80,HIV,0,inactive,HIV_80,39735,,,19,12
81,81,81,HIV,0,inactive,HIV_81,4061,,,17,12
82,82,82,HIV,0,inactive,HIV_82,6485,,,0,13
83,83,83,HIV,0,inactive,HIV_83,40405,,,24,13
84,84,84,HIV,0,inactive,HIV_84,40411,,,24,13
85,85,85,HIV,1,active,HIV_85,40411,,,24,12
86,86,86,HIV,1,active,HIV_86,2191,,,24,16
87,87,87,HIV,0,inactive,HIV_87,32605,,,4,17
88,88,88,HIV,0,inactive,HIV_88,34656,,,17,14
89,89,89,HIV,0,inactive,HIV_89,26781,,,22,12
90,90,90,HIV,0,inactive,HIV_90,12985,,,1,14
91,91,91,HIV,0,inactive,HIV_91,2934,,,4,20
92,92,92,HIV,0,inactive,HIV_92,35190,,,5,15
93,93,93,HIV,0,inactive,HIV_93,37614,,,9,13
94,94,94,HIV,0,inactive,HIV_94,11593,,,5,14
95,95,95,HIV,0,inactive,HIV_95,4870,,,9,12
96,96,96,HIV,0,inactive,HIV_96,11280,,,15,13
97,97,97,HIV,0,inactive,HIV_97,41047,,,16,11
98,98,98,HIV,0,inactive,HIV_98,1773,,,16,13
99,99,99,HIV,0,inactive,HIV_99,28448,,,9,12
100,100,100,HIV,0,inactive,HIV_100,3855,,,16,13
101,101,101,HIV,0,inactive,HIV_101,27997,,,16,20
102,102,102,HIV,0,inactive,HIV_102,16759,,,16,10
103,103,103,HIV,0,inactive,HIV_103,35190,,,5,12
104,104,104,HIV,0,inactive,HIV_104,9517,,,1,18
105,105,105,HIV,0,inactive,HIV_105,39075,,,4,11
106,106,106,HIV,0,inactive,HIV_106,3352,,,13,13
107,107,107,HIV,0,inactive,HIV_107,3828,,,12,11
108,108,108,HIV,0,inactive,HIV_108,3828,,,12,13
109,109,109,HIV,0,inactive,HIV_109,22788,,,13,16
110,110,110,HIV,0,inactive,HIV_110,13271,,,23,11
111,111,111,HIV,0,inactive,HIV_111,39691,,,14,12
112,112,112,HIV,0,inactive,HIV_112,20,,,1,20
113,113,113,HIV,0,inactive,HIV_113,6316,,,22,12
114,114,114,HIV,0,inactive,HIV_114,21789,,,17,12
115,115,115,HIV,0,inactive,HIV_115,32681,,,14,10
116,116,116,HIV,0,inactive,HIV_116,39158,,,5,12
117,117,117,HIV,0,inactive,HIV_117,538,,,9,15
118,118,118,HIV,0,inactive,HIV_118,10263,,,9,13
119,119,119,HIV,0,inactive,HIV_119,10223,,,6,11
120,120,120,HIV,0,inactive,HIV_120,120,,,16,14
121,121,121,HIV,0,inactive,HIV_121,5108,,,10,14
122,122,122,HIV,0,inactive,HIV_122,32509,,,6,13
123,123,123,HIV,0,inactive,HIV_123,8419,,,22,12
124,124,124,HIV,0,inactive,HIV_124,4075,,,18,14
125,125,125,HIV,0,inactive,HIV_125,38022,,,6,18
126,126,126,HIV,0,inactive,HIV_126,27315,,,1,10
127,127,127,HIV,0,inactive,HIV_127,11099,,,21,13
128,128,128,HIV,0,inactive,HIV_128,4111,,,5,13
129,129,129,HIV,0,inactive,HIV_129,41044,,,9,12
130,130,130,HIV,0,inactive,HIV_130,12328,,,20,16
131,131,131,HIV,0,inactive,HIV_131,131,,,5,10
132,132,132,HIV,0,inactive,HIV_132,33122,,,22,14
133,133,133,HIV,0,inactive,HIV_133,3748,,,20,10
134,134,134,HIV,0,inactive,HIV_134,31082,,,4,13
135,135,135,HIV,0,inactive,HIV_135,29867,,,2,16
136,136,136,HIV,0,inactive,HIV_136,4520,,,5,16
137,137,137,HIV,0,inactive,HIV_137,3828,,,12,14
138,138,138,HIV,0,inactive,HIV_138,30100,,,5,12
139,139,139,HIV,0,inactive,HIV_139,22248,,,4,12
140,140,140,HIV,0,inactive,HIV_140,7047,,,22,12
141,141,141,HIV,0,inactive,HIV_141,35720,,,6,17
142,142,142,HIV,0,inactive,HIV_142,37741,,,4,10
143,143,143,HIV,0,inactive,HIV_143,24921,,,1,12
144,144,144,HIV,0,inactive,HIV_144,14174,,,16,12
145,145,145,HIV,0,inactive,HIV_145,38595,,,2,19
146,146,146,HIV,0,inactive,HIV_146,32439,,,2,13
147,147,147,HIV,0,inactive,HIV_147,223,,,15,14
148,148,148,HIV,0,inactive,HIV_148,148,,,22,11
149,149,149,HIV,0,inactive,HIV_149,9194,,,21,17
150,150,150,HIV,0,inactive,HIV_150,39958,,,21,16
151,151,151,HIV,0,inactive,HIV_151,38652,,,10,10
152,152,152,HIV,0,inactive,HIV_152,6485,,,0,11
153,153,153,HIV,0,inactive,HIV_153,18203,,,8,12
154,154,154,HIV,0,inactive,HIV_154,19109,,,23,16
155,155,155,HIV,0,inactive,HIV_155,155,,,13,15
156,156,156,HIV,0,inactive,HIV_156,3541,,,14,11
157,157,157,HIV,0,inactive,HIV_157,32444,,,8,13
158,158,158,HIV,0,inactive,HIV_158,120,,,16,17
159,159,159,HIV,0,inactive,HIV_159,36499,,,14,12
160,160,160,HIV,0,inactive,HIV_160,160,,,16,11
161,161,161,HIV,0,inactive,HIV_161,33504,,,17,17
162,162,162,HIV,0,inactive,HIV_162,162,,,10,12
163,163,163,HIV,0,inactive,HIV_163,25881,,,17,12
164,164,164,HIV,0,inactive,HIV_164,27303,,,23,12
165,165,165,HIV,0,inactive,HIV_165,13560,,,23,11
166,166,166,HIV,0,inactive,HIV_166,1724,,,23,16
167,167,167,HIV,0,inactive,HIV_167,37972,,,7,12
168,168,168,HIV,0,inactive,HIV_168,39075,,,4,12
169,169,169,HIV,0,inactive,HIV_169,25774,,,5,12
170,170,170,HIV,0,inactive,HIV_170,35662,,,19,13
171,171,171,HIV,0,inactive,HIV_171,23574,,,18,21
172,172,172,HIV,0,inactive,HIV_172,36906,,,3,11
173,173,173,HIV,0,inactive,HIV_173,36270,,,5,11
174,174,174,HIV,0,inactive,HIV_174,31684,,,16,10
175,175,175,HIV,0,inactive,HIV_175,2414,,,19,14
176,176,176,HIV,0,inactive,HIV_176,7218,,,20,15
177,177,177,HIV,0,inactive,HIV_177,35031,,,22,16
178,178,178,HIV,0,inactive,HIV_178,18632,,,18,18
179,179,179,HIV,0,inactive,HIV_179,39580,,,4,13
180,180,180,HIV,0,inactive,HIV_180,33636,,,18,18
181,181,181,HIV,0,inactive,HIV_181,35912,,,4,12
182,182,182,HIV,0,inactive,HIV_182,8877,,,22,21
183,183,183,HIV,0,inactive,HIV_183,33739,,,18,18
184,184,184,HIV,0,inactive,HIV_184,184,,,10,12
185,185,185,HIV,0,inactive,HIV_185,20553,,,8,13
186,186,186,HIV,0,inactive,HIV_186,13658,,,2,14
187,187,187,HIV,0,inactive,HIV_187,35740,,,9,15
