community,n_total,n_hiv,n_brnpdb,n_hiv_active,hiv_enrich,x_rate,top_enriched_fg,top_depleted_fg,brnpdb_compounds,mean_mw,mean_logp,mean_tpsa,mean_hbd,mean_hba,mean_rotbonds,mean_n_rings,mean_n_arom_rings,mean_n_heavy,std_mw,std_logp,std_tpsa,std_hbd,std_hba,std_rotbonds,std_n_rings,std_n_arom_rings,std_n_heavy,d_mw,d_logp,d_tpsa,d_hbd,d_hba,d_rotbonds,d_n_rings,d_n_arom_rings,d_n_heavy,fg_aromatic_benzene,fg_phenol,fg_catechol,fg_carboxylic_acid,fg_ester,fg_amide,fg_primary_amine,fg_secondary_amine,fg_tertiary_amine,fg_hydroxyl,fg_ether,fg_ketone,fg_aldehyde,fg_sulfate_ester,fg_sulfonate,fg_phosphate,fg_nitro,fg_nitrile,fg_thiol,fg_thioether,fg_halide_F,fg_halide_Cl,fg_halide_Br,fg_alkene,fg_alkyne,fg_pyridine,fg_furan,fg_thiophene,fg_pyrrole,fg_imidazole,fg_indole,fg_pyranose_sugar,fg_furanose_sugar,fg_lactone,fg_epoxide,enr_aromatic_benzene,enr_phenol,enr_catechol,enr_carboxylic_acid,enr_ester,enr_amide,enr_primary_amine,enr_secondary_amine,enr_tertiary_amine,enr_hydroxyl,enr_ether,enr_ketone,enr_aldehyde,enr_sulfate_ester,enr_sulfonate,enr_phosphate,enr_nitro,enr_nitrile,enr_thiol,enr_thioether,enr_halide_F,enr_halide_Cl,enr_halide_Br,enr_alkene,enr_alkyne,enr_pyridine,enr_furan,enr_thiophene,enr_pyrrole,enr_imidazole,enr_indole,enr_pyranose_sugar,enr_furanose_sugar,enr_lactone,enr_epoxide,chemical_family
11,1485,1484,1,678,0.4569,13.02,"thioether(1.3x,12%); halide_F(1.3x,7%)",,Amphotericin B [7807],380.788,3.27,81.42,1.399,4.933,4.82,3.166,2.093,26.193,175.361,2.731,56.101,1.789,2.855,4.868,1.852,1.603,12.355,11.053,0.289,-1.284,-0.138,0.007,0.143,0.098,0.085,0.706,0.7582,0.2384,0.0768,0.0653,0.1818,0.3232,0.0747,0.2916,0.2148,0.1098,0.4195,0.169,0.0074,0.0013,0.0242,0.0074,0.0,0.0747,0.0094,0.1199,0.0673,0.1731,0.0377,0.2269,0.0074,0.1131,0.0155,0.0215,0.0269,0.0411,0.0222,0.0094,0.0007,0.165,0.0067,1.028,1.012,1.12,0.88,0.897,1.066,0.773,1.006,0.999,0.837,0.978,1.013,1.036,0.354,1.077,1.456,0.0,1.063,0.859,1.324,1.309,1.039,1.021,0.908,0.924,1.046,0.844,0.988,0.925,0.776,0.954,1.158,0.391,0.931,1.065,Drug-like / diverse (low chemical differentiation)
17,668,661,7,53,0.0802,2.29,"alkyne(2.1x,2%)",,"Ergostane-2,3,6-triol, 25-me [9477] | 2-Propenoic acid, 3-[4-hydro [6662] | Stigmast-5-en-3-ol, (3β,24ξ) [7884] | Stigmast-5-en-3-ol, (3β)- [7333] | Stigmast-5-en-3-ol [7233]",372.475,3.076,82.349,1.531,4.993,4.654,3.063,1.976,25.566,179.448,2.685,59.961,1.904,3.2,4.467,1.813,1.51,12.539,2.74,0.095,-0.356,-0.006,0.066,-0.023,-0.004,-0.032,0.079,0.7305,0.265,0.0853,0.0749,0.2081,0.2919,0.1198,0.2874,0.229,0.1482,0.4491,0.1707,0.006,0.0045,0.021,0.0015,0.0,0.0823,0.012,0.1078,0.0509,0.1931,0.0449,0.2859,0.0165,0.1213,0.0195,0.024,0.018,0.0494,0.015,0.0075,0.0015,0.1841,0.0075,0.991,1.125,1.245,1.009,1.026,0.962,1.239,0.991,1.066,1.131,1.047,1.022,0.838,1.181,0.931,0.294,0.0,1.171,1.091,1.19,0.989,1.16,1.215,1.144,2.053,1.122,1.061,1.098,0.617,0.933,0.643,0.919,0.87,1.04,1.184,Enriched in alkyne (x2.1)
16,1166,1165,1,87,0.0747,2.13,"aldehyde(1.4x,1%); sulfonate(1.4x,3%)",,caffeic acid [3471],363.076,2.863,83.434,1.554,4.928,4.807,2.877,1.917,24.971,147.509,2.334,52.91,1.797,2.683,4.253,1.655,1.399,10.38,-6.659,-0.118,0.729,0.017,0.001,0.13,-0.191,-0.091,-0.516,0.7136,0.2127,0.0678,0.0815,0.2101,0.3113,0.0806,0.3105,0.1947,0.1269,0.4305,0.1587,0.0103,0.0017,0.0317,0.0077,0.0,0.0566,0.0086,0.0918,0.0412,0.1698,0.0292,0.2384,0.0094,0.1063,0.0172,0.0214,0.0197,0.0489,0.012,0.0086,0.0026,0.1878,0.0043,0.968,0.903,0.988,1.098,1.037,1.026,0.834,1.071,0.906,0.968,1.003,0.951,1.44,0.451,1.41,1.517,0.0,0.805,0.781,1.013,0.8,1.02,0.789,0.954,1.176,0.984,0.935,0.983,0.677,0.923,0.516,1.054,1.496,1.06,0.678,Drug-like / diverse (low chemical differentiation)
5,502,502,0,36,0.0717,2.04,"pyranose_sugar(1.7x,1%); hydroxyl(1.5x,19%); furan(1.4x,3%); sulfonate(1.3x,3%)",,,381.599,2.807,87.341,1.731,5.229,5.068,3.193,1.886,26.195,184.605,2.937,66.254,2.223,3.312,5.533,2.071,1.535,13.157,11.865,-0.174,4.636,0.194,0.302,0.391,0.126,-0.121,0.708,0.7151,0.2231,0.0697,0.0677,0.2112,0.2669,0.1235,0.251,0.2271,0.1912,0.4542,0.1534,0.008,0.01,0.0299,0.002,0.0,0.0538,0.01,0.0837,0.0438,0.1892,0.0359,0.2291,0.004,0.0916,0.0259,0.012,0.0239,0.0378,0.0199,0.0139,0.004,0.1932,0.004,0.97,0.947,1.017,0.913,1.042,0.88,1.277,0.866,1.057,1.459,1.058,0.919,1.115,2.618,1.328,0.392,0.0,0.765,0.907,0.924,0.852,1.136,0.97,0.917,0.497,0.848,1.412,0.548,0.821,0.715,0.856,1.713,2.316,1.091,0.63,Enriched in sulfate_ester (x2.6)
24,2137,2136,1,82,0.0384,1.09,"aldehyde(1.4x,1%); furan(1.3x,2%)",,"Cycloocta[1,2-b:5,6-b′]diind [9611]",366.358,2.94,82.851,1.581,4.878,4.584,3.068,2.007,25.284,171.394,2.721,58.069,1.916,2.85,4.411,1.974,1.589,12.172,-3.376,-0.041,0.146,0.044,-0.048,-0.093,0.001,-0.001,-0.203,0.73,0.2335,0.0697,0.0725,0.2106,0.3046,0.1011,0.2957,0.2087,0.138,0.431,0.1722,0.0103,0.0023,0.0178,0.0051,0.0,0.0679,0.0122,0.088,0.051,0.1657,0.0342,0.2574,0.0066,0.0992,0.0243,0.0239,0.0314,0.0627,0.0248,0.008,0.0028,0.1736,0.008,0.99,0.991,1.017,0.978,1.039,1.004,1.045,1.02,0.971,1.053,1.004,1.032,1.44,0.615,0.79,1.012,0.0,0.965,1.109,0.971,0.991,0.995,0.925,1.03,0.817,0.918,1.327,1.094,1.077,1.184,1.065,0.977,1.632,0.98,1.258,Drug-like / diverse (low chemical differentiation)
9,1241,1239,2,37,0.0299,0.85,"halide_F(1.3x,7%)",,Quercetin [122] | 3-O-methylquercetin [1223],366.135,2.994,81.118,1.444,4.829,4.578,3.07,2.014,25.259,169.894,2.445,58.518,1.82,3.115,4.806,1.788,1.556,12.082,-3.6,0.013,-1.587,-0.093,-0.098,-0.099,0.003,0.006,-0.228,0.7276,0.2143,0.0596,0.0653,0.2047,0.3207,0.087,0.2877,0.2216,0.1185,0.4166,0.1636,0.0064,0.0056,0.0234,0.0056,0.0,0.0661,0.0105,0.0733,0.0677,0.1579,0.0475,0.2361,0.004,0.1039,0.0201,0.0234,0.0346,0.05,0.0298,0.0089,0.0008,0.1813,0.004,0.987,0.91,0.87,0.88,1.01,1.057,0.9,0.992,1.031,0.904,0.971,0.98,0.902,1.483,1.038,1.109,0.0,0.94,0.954,0.81,1.315,0.948,1.287,0.945,0.502,0.962,1.098,1.072,1.19,0.944,1.281,1.089,0.468,1.024,0.637,Drug-like / diverse (low chemical differentiation)
2,1982,1947,35,55,0.0282,0.81,"pyranose_sugar(1.4x,1%); thiophene(1.3x,3%)",,"Urs-12-en-28-oic acid, 3-hyd [6310] | myristic acid [2144] | Urs-12-en-28-oic acid, 3-hyd [5488] | 9,12-Octadecadienoic acid, ( [5797] | L-Cysteine, L-tyrosylglycyl- [8749]",372.362,3.019,82.372,1.556,4.988,4.671,3.097,1.988,25.674,173.364,2.569,63.631,2.107,3.257,5.265,1.781,1.433,12.257,2.627,0.038,-0.333,0.018,0.062,-0.006,0.03,-0.019,0.187,0.7094,0.2356,0.0706,0.0732,0.2149,0.2952,0.0868,0.2841,0.2084,0.1362,0.4273,0.1589,0.0055,0.002,0.0192,0.0066,0.0,0.0721,0.0141,0.0812,0.0479,0.171,0.0343,0.2669,0.0076,0.1135,0.0172,0.0293,0.0283,0.0651,0.0156,0.0111,0.0025,0.1862,0.0096,0.962,1.0,1.031,0.986,1.06,0.973,0.897,0.98,0.97,1.039,0.996,0.952,0.777,0.531,0.852,1.289,0.0,1.027,1.287,0.897,0.931,1.027,0.929,1.068,0.944,1.05,0.935,1.342,0.97,1.229,0.672,1.364,1.467,1.051,1.516,Drug-like / diverse (low chemical differentiation)
6,1481,1460,21,31,0.0212,0.61,"pyranose_sugar(1.3x,1%)",,"1H-Cycloprop[e]azulen-4-ol,  [7198] | 1H-Cycloprop[e]azulen-7-ol,  [5244] | 1H-Cyclopenta[1,3]cyclopropa [6397] | Card-20(22)-enolide, 3-[(2,6 [9290] | 1H-Cycloprop[e]azulen-4-ol,  [5806]",379.215,3.034,85.45,1.629,5.016,4.694,3.267,2.094,26.147,231.405,2.742,88.056,2.455,4.374,6.271,2.185,1.635,15.342,9.48,0.053,2.745,0.092,0.09,0.017,0.199,0.086,0.66,0.7434,0.2512,0.0668,0.0749,0.1783,0.3025,0.0972,0.2897,0.2316,0.1249,0.4186,0.1702,0.0068,0.0061,0.0223,0.0054,0.0,0.081,0.0135,0.0885,0.052,0.1668,0.0371,0.239,0.0101,0.1195,0.0182,0.0196,0.0351,0.0466,0.0277,0.0108,0.0007,0.154,0.0034,1.008,1.066,0.975,1.01,0.879,0.997,1.006,0.999,1.078,0.953,0.976,1.019,0.945,1.598,0.99,1.062,0.0,1.153,1.23,0.977,1.01,1.002,1.005,0.956,1.263,1.106,0.994,0.898,1.206,0.88,1.189,1.327,0.393,0.869,0.534,Drug-like / diverse (low chemical differentiation)
7,1776,1775,1,38,0.0214,0.61,"imidazole(1.3x,7%)",,Kaempferide [3892],366.428,2.863,82.614,1.524,4.938,4.762,3.033,1.959,25.18,158.347,2.385,59.799,2.082,2.904,5.124,1.657,1.402,11.207,-3.307,-0.118,-0.091,-0.013,0.011,0.086,-0.035,-0.048,-0.307,0.737,0.2314,0.0755,0.058,0.2066,0.2934,0.1014,0.2911,0.2089,0.1318,0.4403,0.1695,0.0096,0.0039,0.0242,0.0096,0.0,0.0693,0.0107,0.094,0.045,0.1639,0.0422,0.2539,0.0101,0.094,0.0169,0.0186,0.0298,0.0709,0.027,0.0068,0.0011,0.1881,0.0045,1.0,0.982,1.101,0.782,1.019,0.967,1.048,1.004,0.972,1.005,1.026,1.015,1.339,1.036,1.076,1.881,0.0,0.985,0.975,1.038,0.875,0.984,1.143,1.016,1.264,0.87,0.921,0.852,1.025,1.34,1.161,0.83,0.655,1.062,0.712,Drug-like / diverse (low chemical differentiation)
3,1158,1145,13,24,0.021,0.6,"pyranose_sugar(1.5x,1%)",,"4H-1-Benzopyran-4-one, 2-(3, [10222] | 4-nerolidylcathecol [3887] | 1-Naphthalenepropanoic acid, [6665] | Myrcene [1747] | 1-Naphthalenepropanoic acid, [6009]",372.984,2.988,82.547,1.543,4.893,4.69,3.123,2.072,25.841,175.653,2.812,62.141,2.103,3.099,5.164,1.751,1.528,12.321,3.249,0.007,-0.158,0.006,-0.034,0.013,0.056,0.064,0.354,0.7461,0.2392,0.0682,0.0622,0.1934,0.3325,0.0872,0.2988,0.2306,0.1295,0.4059,0.1813,0.006,0.0035,0.0173,0.0035,0.0,0.0751,0.006,0.0889,0.0501,0.1805,0.032,0.2401,0.0086,0.1157,0.0233,0.0147,0.0328,0.0484,0.0285,0.0121,0.0017,0.1684,0.0095,1.012,1.015,0.995,0.838,0.954,1.096,0.902,1.031,1.073,0.988,0.946,1.087,0.846,0.908,0.767,0.679,0.0,1.069,0.551,0.982,0.973,1.084,0.865,0.961,1.077,1.07,1.271,0.673,1.127,0.913,1.224,1.485,1.004,0.951,1.502,Drug-like / diverse (low chemical differentiation)
