micro_community,size,n_active,hiv_rate,macro_community,macro_family
3083,5,5,1.0,11,Macrolida polienica (Amphotericin B)
34516,14,13,0.9286,17,Fitoesterois C28-C29 + acidos cinnamicos prenilados
5475,12,11,0.9167,11,Macrolida polienica (Amphotericin B)
5896,12,11,0.9167,11,Macrolida polienica (Amphotericin B)
18200,30,27,0.9,11,Macrolida polienica (Amphotericin B)
24300,25,22,0.88,11,Macrolida polienica (Amphotericin B)
6524,6,5,0.8333,11,Macrolida polienica (Amphotericin B)
18922,12,10,0.8333,11,Macrolida polienica (Amphotericin B)
33722,19,15,0.7895,11,Macrolida polienica (Amphotericin B)
12655,19,15,0.7895,11,Macrolida polienica (Amphotericin B)
18343,8,6,0.75,11,Macrolida polienica (Amphotericin B)
18588,11,8,0.7273,11,Macrolida polienica (Amphotericin B)
34462,11,8,0.7273,11,Macrolida polienica (Amphotericin B)
33383,11,8,0.7273,11,Macrolida polienica (Amphotericin B)
21101,18,13,0.7222,11,Macrolida polienica (Amphotericin B)
23620,18,13,0.7222,11,Macrolida polienica (Amphotericin B)
9509,17,12,0.7059,11,Macrolida polienica (Amphotericin B)
21879,19,13,0.6842,11,Macrolida polienica (Amphotericin B)
10386,22,15,0.6818,11,Macrolida polienica (Amphotericin B)
7143,22,15,0.6818,11,Macrolida polienica (Amphotericin B)
13791,9,6,0.6667,11,Macrolida polienica (Amphotericin B)
6480,18,12,0.6667,11,Macrolida polienica (Amphotericin B)
41230,9,6,0.6667,3,Flavonas arabinosiladas + catecois sesquiterpenoides
27429,21,14,0.6667,11,Macrolida polienica (Amphotericin B)
41273,9,6,0.6667,13,Pentoses livres + sesquiterpenos macrociclicos endoperoxidicos
21186,29,19,0.6552,11,Macrolida polienica (Amphotericin B)
24348,11,7,0.6364,11,Macrolida polienica (Amphotericin B)
2226,11,7,0.6364,11,Macrolida polienica (Amphotericin B)
32492,13,8,0.6154,24,Alcaloide bisindolico macrociclico
9070,13,8,0.6154,11,Macrolida polienica (Amphotericin B)
30597,5,3,0.6,11,Macrolida polienica (Amphotericin B)
20746,10,6,0.6,11,Macrolida polienica (Amphotericin B)
22784,10,6,0.6,11,Macrolida polienica (Amphotericin B)
6467,5,3,0.6,11,Macrolida polienica (Amphotericin B)
9007,17,10,0.5882,11,Macrolida polienica (Amphotericin B)
7092,33,19,0.5758,11,Macrolida polienica (Amphotericin B)
38940,7,4,0.5714,12,Hexoses e acidos uronicoslivres
31,7,4,0.5714,11,Macrolida polienica (Amphotericin B)
21642,16,9,0.5625,11,Macrolida polienica (Amphotericin B)
11975,16,9,0.5625,11,Macrolida polienica (Amphotericin B)
30071,9,5,0.5556,11,Macrolida polienica (Amphotericin B)
784,9,5,0.5556,11,Macrolida polienica (Amphotericin B)
29299,11,6,0.5455,11,Macrolida polienica (Amphotericin B)
21557,13,7,0.5385,11,Macrolida polienica (Amphotericin B)
13448,15,8,0.5333,11,Macrolida polienica (Amphotericin B)
27288,32,17,0.5312,11,Macrolida polienica (Amphotericin B)
11858,17,9,0.5294,11,Macrolida polienica (Amphotericin B)
21746,44,23,0.5227,11,Macrolida polienica (Amphotericin B)
