node_id,community,dataset,hiv_active,brnpdb_id,common_name
41127,24793,BrNPDB,-1.0,tensor(10017),"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)-"
41128,27879,BrNPDB,-1.0,tensor(10052),"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-"
41129,41129,BrNPDB,-1.0,tensor(10068),"α-L-Mannopyranose, 6-deoxy-"
41130,19165,BrNPDB,-1.0,tensor(10174),"4,6-Cyclopentacycloundecenediol, 1,2,3,3a,4,5,6,9,10,12a-decahydro-3-(1-hydroxy-1-methylethyl)-6,10,12a-trimethyl-, (3R,3aS,4S,6S,7E,10R,11E,12aR)-rel-(-)-"
41131,12690,BrNPDB,-1.0,tensor(10222),"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5-hydroxy-3,7-dimethoxy-6-methyl-"
41132,7170,BrNPDB,-1.0,tensor(10226),"Bicyclo[8.1.0]undeca-2,6-diene, 3,7,11,11-tetramethyl-, (1S,2E,6E,10R)-"
41133,41134,BrNPDB,-1.0,tensor(122),Quercetin
41134,41134,BrNPDB,-1.0,tensor(1223),3-O-methylquercetin
41135,29867,BrNPDB,-1.0,tensor(1380),Linalool
41136,20197,BrNPDB,-1.0,tensor(1389),Linalyl acetate
41137,38755,BrNPDB,-1.0,tensor(1497),hexadecanoic acid
41138,9065,BrNPDB,-1.0,tensor(1737),Sabinene
41139,32939,BrNPDB,-1.0,tensor(1741),Terpinen-4-ol
41140,24447,BrNPDB,-1.0,tensor(1745),"1,8-Cineole"
41141,13403,BrNPDB,-1.0,tensor(1746),β-Pinene
41142,22629,BrNPDB,-1.0,tensor(1747),Myrcene
41143,19661,BrNPDB,-1.0,tensor(1750),γ-Terpinene
41144,18142,BrNPDB,-1.0,tensor(1752),α-Terpinolene
41145,29867,BrNPDB,-1.0,tensor(1755),α-Pinene
41146,26373,BrNPDB,-1.0,tensor(1828),Benzyl benzoate
41147,32685,BrNPDB,-1.0,tensor(1902),a-terpinene
41148,26612,BrNPDB,-1.0,tensor(1914),limonene
41149,41149,BrNPDB,-1.0,tensor(1915),tricyclene
41150,9691,BrNPDB,-1.0,tensor(2027),Camphene
41151,18500,BrNPDB,-1.0,tensor(2142),capric acid
41152,6846,BrNPDB,-1.0,tensor(2143),lauric acid
41153,4022,BrNPDB,-1.0,tensor(2144),myristic acid
41154,38506,BrNPDB,-1.0,tensor(3046),Malic acid
41155,28297,BrNPDB,-1.0,tensor(3151),farnesol
41156,507,BrNPDB,-1.0,tensor(3278),nerolidol
41157,7372,BrNPDB,-1.0,tensor(3470),Ferulic acid
41158,33891,BrNPDB,-1.0,tensor(3471),caffeic acid
41159,4454,BrNPDB,-1.0,tensor(3631),Tetradecanal
41160,21499,BrNPDB,-1.0,tensor(3887),4-nerolidylcathecol
41161,12938,BrNPDB,-1.0,tensor(3892),Kaempferide
41162,8118,BrNPDB,-1.0,tensor(3895),(E)-3-(4-Hydroxyphenyl)acrylic acid
41163,36713,BrNPDB,-1.0,tensor(5243),"4H-1-Benzopyran-4-one, 3-(β-D-allopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-"
