community,size,active,inactive,br_compounds,frac_active,enrichment
31128,46,4,40,2,0.09090909090909091,2.591003591003591
22629,25,2,22,1,0.08333333333333333,2.3750866250866247
41217,21,1,12,8,0.07692307692307693,2.1923876539261156
41207,22,1,17,4,0.05555555555555555,1.5833910833910831
18465,24,1,18,5,0.05263157894736842,1.5000547105810262
22705,21,1,19,1,0.05,1.425051975051975
31868,29,1,25,3,0.038461538461538464,1.0961938269630578
6846,108,4,102,2,0.03773584905660377,1.0755109245675283
7170,28,1,26,1,0.037037037037037035,1.0555940555940555
36713,33,1,28,4,0.034482758620689655,0.9827944655530861
33028,33,1,29,3,0.03333333333333333,0.9500346500346499
34166,33,1,31,1,0.03125,0.8906574844074844
507,35,1,32,2,0.030303030303030304,0.8636678636678636
18203,40,1,37,2,0.02631578947368421,0.7500273552905131
38009,39,1,37,1,0.02631578947368421,0.7500273552905131
36316,83,2,80,1,0.024390243902439025,0.6951473049034025
39548,49,1,47,1,0.020833333333333332,0.5937716562716562
29867,54,1,51,2,0.019230769230769232,0.5480969134815289
24793,31,0,24,7,0.0,0.0
24447,25,0,24,1,0.0,0.0
37974,48,0,47,1,0.0,0.0
36242,33,0,30,3,0.0,0.0
41263,25,0,21,4,0.0,0.0
41149,30,0,27,3,0.0,0.0
41129,33,0,31,2,0.0,0.0
39001,30,0,29,1,0.0,0.0
32939,29,0,27,2,0.0,0.0
32685,27,0,26,1,0.0,0.0
33410,38,0,36,2,0.0,0.0
9416,24,0,23,1,0.0,0.0
4141,20,0,18,2,0.0,0.0
4454,29,0,28,1,0.0,0.0
19165,25,0,24,1,0.0,0.0
18958,20,0,19,1,0.0,0.0
19661,41,0,37,4,0.0,0.0
12938,20,0,19,1,0.0,0.0
12862,20,0,19,1,0.0,0.0
13658,24,0,23,1,0.0,0.0
11482,44,0,43,1,0.0,0.0
