community,size,active,inactive,br_compounds,frac_active,enrichment
9377,5,2,3,0,0.4,11.4004158004158
11974,5,2,3,0,0.4,11.4004158004158
10672,5,2,3,0,0.4,11.4004158004158
27464,3,1,2,0,0.3333333333333333,9.500346500346499
30846,6,2,4,0,0.3333333333333333,9.500346500346499
22488,3,1,2,0,0.3333333333333333,9.500346500346499
17056,6,2,4,0,0.3333333333333333,9.500346500346499
14606,3,1,2,0,0.3333333333333333,9.500346500346499
85,3,1,2,0,0.3333333333333333,9.500346500346499
8630,6,2,4,0,0.3333333333333333,9.500346500346499
4998,3,1,2,0,0.3333333333333333,9.500346500346499
25586,3,1,2,0,0.3333333333333333,9.500346500346499
118,3,1,2,0,0.3333333333333333,9.500346500346499
39707,10,3,7,0,0.3,8.55031185031185
28675,7,2,5,0,0.2857142857142857,8.143154143154142
35686,7,2,5,0,0.2857142857142857,8.143154143154142
10846,11,3,8,0,0.2727272727272727,7.773010773010772
33129,8,2,6,0,0.25,7.125259875259875
35670,4,1,3,0,0.25,7.125259875259875
31497,4,1,3,0,0.25,7.125259875259875
14236,12,3,9,0,0.25,7.125259875259875
14021,4,1,3,0,0.25,7.125259875259875
41210,9,2,6,1,0.25,7.125259875259875
16991,12,3,9,0,0.25,7.125259875259875
28715,4,1,3,0,0.25,7.125259875259875
13217,4,1,3,0,0.25,7.125259875259875
13082,12,3,9,0,0.25,7.125259875259875
24322,8,2,6,0,0.25,7.125259875259875
17018,4,1,3,0,0.25,7.125259875259875
31874,4,1,3,0,0.25,7.125259875259875
5867,4,1,3,0,0.25,7.125259875259875
17147,8,2,6,0,0.25,7.125259875259875
36781,4,1,3,0,0.25,7.125259875259875
19894,4,1,3,0,0.25,7.125259875259875
11823,12,3,9,0,0.25,7.125259875259875
11736,4,1,3,0,0.25,7.125259875259875
39795,4,1,3,0,0.25,7.125259875259875
26017,4,1,3,0,0.25,7.125259875259875
18200,4,1,3,0,0.25,7.125259875259875
25684,4,1,3,0,0.25,7.125259875259875
34672,4,1,3,0,0.25,7.125259875259875
8953,17,4,13,0,0.23529411764705882,6.706126941421059
16575,9,2,7,0,0.2222222222222222,6.333564333564333
13470,9,2,7,0,0.2222222222222222,6.333564333564333
23809,9,2,7,0,0.2222222222222222,6.333564333564333
25425,9,2,7,0,0.2222222222222222,6.333564333564333
16826,14,3,11,0,0.21428571428571427,6.107365607365606
24336,14,3,11,0,0.21428571428571427,6.107365607365606
11872,14,3,11,0,0.21428571428571427,6.107365607365606
17673,5,1,4,0,0.2,5.7002079002079
22212,5,1,4,0,0.2,5.7002079002079
21181,5,1,4,0,0.2,5.7002079002079
20919,5,1,4,0,0.2,5.7002079002079
36970,5,1,4,0,0.2,5.7002079002079
7474,5,1,4,0,0.2,5.7002079002079
19788,15,3,12,0,0.2,5.7002079002079
19771,5,1,4,0,0.2,5.7002079002079
37647,5,1,4,0,0.2,5.7002079002079
11492,5,1,4,0,0.2,5.7002079002079
12035,5,1,4,0,0.2,5.7002079002079
15040,5,1,4,0,0.2,5.7002079002079
32881,5,1,4,0,0.2,5.7002079002079
13828,5,1,4,0,0.2,5.7002079002079
16972,10,2,8,0,0.2,5.7002079002079
13977,6,1,4,1,0.2,5.7002079002079
16404,5,1,4,0,0.2,5.7002079002079
38586,5,1,4,0,0.2,5.7002079002079
15802,5,1,4,0,0.2,5.7002079002079
31291,10,2,8,0,0.2,5.7002079002079
14552,10,2,8,0,0.2,5.7002079002079
33081,5,1,4,0,0.2,5.7002079002079
6268,5,1,4,0,0.2,5.7002079002079
26549,10,2,8,0,0.2,5.7002079002079
443,10,2,8,0,0.2,5.7002079002079
23055,5,1,4,0,0.2,5.7002079002079
24737,10,2,8,0,0.2,5.7002079002079
24481,5,1,4,0,0.2,5.7002079002079
40715,16,3,13,0,0.1875,5.343944906444906
16832,11,2,9,0,0.18181818181818182,5.182007182007182
31428,11,2,9,0,0.18181818181818182,5.182007182007182
34807,11,2,9,0,0.18181818181818182,5.182007182007182
18838,11,2,9,0,0.18181818181818182,5.182007182007182
8017,11,2,9,0,0.18181818181818182,5.182007182007182
14068,27,4,19,4,0.17391304347826086,4.956702521919913
16875,6,1,5,0,0.16666666666666666,4.750173250173249
11384,6,1,5,0,0.16666666666666666,4.750173250173249
40809,6,1,5,0,0.16666666666666666,4.750173250173249
34239,6,1,5,0,0.16666666666666666,4.750173250173249
4562,12,2,10,0,0.16666666666666666,4.750173250173249
26874,6,1,5,0,0.16666666666666666,4.750173250173249
27051,18,3,15,0,0.16666666666666666,4.750173250173249
16911,6,1,5,0,0.16666666666666666,4.750173250173249
34252,6,1,5,0,0.16666666666666666,4.750173250173249
36627,6,1,5,0,0.16666666666666666,4.750173250173249
1979,6,1,5,0,0.16666666666666666,4.750173250173249
8582,12,2,10,0,0.16666666666666666,4.750173250173249
17260,6,1,5,0,0.16666666666666666,4.750173250173249
17555,6,1,5,0,0.16666666666666666,4.750173250173249
30042,6,1,5,0,0.16666666666666666,4.750173250173249
2226,6,1,5,0,0.16666666666666666,4.750173250173249
41121,6,1,5,0,0.16666666666666666,4.750173250173249
7457,6,1,5,0,0.16666666666666666,4.750173250173249
21463,6,1,5,0,0.16666666666666666,4.750173250173249
15117,12,2,10,0,0.16666666666666666,4.750173250173249
36981,6,1,5,0,0.16666666666666666,4.750173250173249
4020,6,1,5,0,0.16666666666666666,4.750173250173249
12127,6,1,5,0,0.16666666666666666,4.750173250173249
33321,12,2,10,0,0.16666666666666666,4.750173250173249
38368,6,1,5,0,0.16666666666666666,4.750173250173249
12729,6,1,5,0,0.16666666666666666,4.750173250173249
8433,25,4,21,0,0.16,4.56016632016632
35071,19,3,16,0,0.15789473684210525,4.5001641317430785
31373,19,3,16,0,0.15789473684210525,4.5001641317430785
7092,19,3,16,0,0.15789473684210525,4.5001641317430785
515,19,3,16,0,0.15789473684210525,4.5001641317430785
37894,19,3,16,0,0.15789473684210525,4.5001641317430785
21557,13,2,11,0,0.15384615384615385,4.384775307852231
925,13,2,11,0,0.15384615384615385,4.384775307852231
27627,14,2,11,1,0.15384615384615385,4.384775307852231
4738,26,4,22,0,0.15384615384615385,4.384775307852231
31046,13,2,11,0,0.15384615384615385,4.384775307852231
2158,20,3,17,0,0.15,4.275155925155925
8041,27,4,23,0,0.14814814814814814,4.222376222376222
32588,7,1,6,0,0.14285714285714285,4.071577071577071
30441,7,1,6,0,0.14285714285714285,4.071577071577071
27277,7,1,6,0,0.14285714285714285,4.071577071577071
3709,7,1,6,0,0.14285714285714285,4.071577071577071
14542,14,2,12,0,0.14285714285714285,4.071577071577071
3834,7,1,6,0,0.14285714285714285,4.071577071577071
34687,7,1,6,0,0.14285714285714285,4.071577071577071
31177,7,1,6,0,0.14285714285714285,4.071577071577071
26567,21,3,18,0,0.14285714285714285,4.071577071577071
27266,14,2,12,0,0.14285714285714285,4.071577071577071
658,7,1,6,0,0.14285714285714285,4.071577071577071
4066,7,1,6,0,0.14285714285714285,4.071577071577071
16901,14,2,12,0,0.14285714285714285,4.071577071577071
12842,14,2,12,0,0.14285714285714285,4.071577071577071
34141,14,2,12,0,0.14285714285714285,4.071577071577071
16444,7,1,6,0,0.14285714285714285,4.071577071577071
11561,14,2,12,0,0.14285714285714285,4.071577071577071
26042,14,2,12,0,0.14285714285714285,4.071577071577071
12266,14,2,12,0,0.14285714285714285,4.071577071577071
12859,7,1,6,0,0.14285714285714285,4.071577071577071
38634,7,1,6,0,0.14285714285714285,4.071577071577071
37383,21,3,18,0,0.14285714285714285,4.071577071577071
21642,21,3,18,0,0.14285714285714285,4.071577071577071
37238,7,1,6,0,0.14285714285714285,4.071577071577071
7276,7,1,6,0,0.14285714285714285,4.071577071577071
1032,7,1,6,0,0.14285714285714285,4.071577071577071
27450,7,1,6,0,0.14285714285714285,4.071577071577071
22595,7,1,6,0,0.14285714285714285,4.071577071577071
22235,14,2,12,0,0.14285714285714285,4.071577071577071
25339,7,1,6,0,0.14285714285714285,4.071577071577071
6073,7,1,6,0,0.14285714285714285,4.071577071577071
21554,7,1,6,0,0.14285714285714285,4.071577071577071
5891,7,1,6,0,0.14285714285714285,4.071577071577071
19612,7,1,6,0,0.14285714285714285,4.071577071577071
19840,7,1,6,0,0.14285714285714285,4.071577071577071
19558,7,1,6,0,0.14285714285714285,4.071577071577071
25409,7,1,6,0,0.14285714285714285,4.071577071577071
6007,10,1,6,3,0.14285714285714285,4.071577071577071
8852,7,1,6,0,0.14285714285714285,4.071577071577071
25095,21,3,18,0,0.14285714285714285,4.071577071577071
19037,7,1,6,0,0.14285714285714285,4.071577071577071
13700,15,2,13,0,0.13333333333333333,3.8001386001385997
17768,15,2,13,0,0.13333333333333333,3.8001386001385997
38676,16,2,13,1,0.13333333333333333,3.8001386001385997
