community,size,active,inactive,br_compounds,frac_active,enrichment
14068,27,4,19,4,0.17391304347826086,4.956702521919913
30800,35,4,30,1,0.11764705882352941,3.3530634707105293
10148,40,4,35,1,0.10256410256410256,2.9231835385681535
4260,43,3,38,2,0.07317073170731707,2.085441914710207
9964,30,2,27,1,0.06896551724137931,1.9655889311061723
33488,32,2,28,2,0.06666666666666667,1.9000693000692999
29883,31,2,28,1,0.06666666666666667,1.9000693000692999
16677,32,2,29,1,0.06451612903225806,1.8387767420025483
39176,54,3,50,1,0.05660377358490566,1.6132663868512924
20033,20,1,17,2,0.05555555555555555,1.5833910833910831
29844,39,2,36,1,0.05263157894736842,1.5000547105810262
37347,23,1,21,1,0.045454545454545456,1.2955017955017956
4988,23,1,21,1,0.045454545454545456,1.2955017955017956
10621,24,1,22,1,0.043478260869565216,1.2391756304799781
11999,29,1,27,1,0.03571428571428571,1.0178942678942677
20475,29,1,27,1,0.03571428571428571,1.0178942678942677
19447,32,1,30,1,0.03225806451612903,0.9193883710012741
17937,35,1,32,2,0.030303030303030304,0.8636678636678636
15735,34,1,32,1,0.030303030303030304,0.8636678636678636
4281,68,2,65,1,0.029850746268656716,0.8507772985384925
37011,38,1,35,2,0.027777777777777776,0.7916955416955416
29684,84,2,81,1,0.024096385542168676,0.6867720361696266
32965,45,1,43,1,0.022727272727272728,0.6477508977508978
41152,30,0,21,9,0.0,0.0
40492,28,0,27,1,0.0,0.0
28850,22,0,21,1,0.0,0.0
26476,42,0,40,2,0.0,0.0
33431,40,0,38,2,0.0,0.0
36933,25,0,24,1,0.0,0.0
31734,20,0,19,1,0.0,0.0
8365,31,0,28,3,0.0,0.0
9587,33,0,30,3,0.0,0.0
10000,52,0,51,1,0.0,0.0
9835,35,0,34,1,0.0,0.0
22528,41,0,34,7,0.0,0.0
