community,brnpdb_id,common_name
507,"[tensor(3278), tensor(6940)]","['nerolidol', 'Olean-12-en-3-ol, (3β)-']"
4022,"[tensor(2144), tensor(5797), tensor(7150), tensor(8239)]","['myristic acid', '9,12-Octadecadienoic acid, (9E,12E)-', '9,12-Octadecadienoic acid (9Z,12Z)-', '9,12-Octadecadienoic acid']"
4141,"[tensor(6009), tensor(6665)]","['1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, (1S,4aR,5S,6S,8aR)-', '1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, methyl ester, [1S-(1α,4aβ,5β,6β,8aα)]-']"
4454,[tensor(3631)],['Tetradecanal']
6356,[tensor(949)],['ω-fenil alcanoic acid']
6846,"[tensor(2143), tensor(8780)]","['lauric acid', '2(3H)-Furanone, dihydro-4-hydroxy-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (4S,5S)-']"
7170,[tensor(10226)],"['Bicyclo[8.1.0]undeca-2,6-diene, 3,7,11,11-tetramethyl-, (1S,2E,6E,10R)-']"
7372,[tensor(3470)],['Ferulic acid']
8118,[tensor(3895)],['(E)-3-(4-Hydroxyphenyl)acrylic acid']
9065,[tensor(1737)],['Sabinene']
9416,[tensor(6695)],"['Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-9-hydroxy-5-methyl-, (1R,5R,8S,9R)-']"
9691,[tensor(2027)],['Camphene']
11482,[tensor(9449)],"['1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-']"
12358,[tensor(9611)],"['Cycloocta[1,2-b:5,6-b′]diindole-6,13-dicarboxylic acid, 5,12-dihydro-, 6,13-dimethyl ester']"
12690,[tensor(10222)],"['4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5-hydroxy-3,7-dimethoxy-6-methyl-']"
12862,[tensor(8570)],"['6H-Purin-6-one, 2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-']"
12938,[tensor(3892)],['Kaempferide']
13403,[tensor(1746)],['β-Pinene']
13658,[tensor(8237)],"['2(5H)-Oxepinone, 7-[6-(acetyloxy)-1-hydroxy-4-hexen-1-yl]-6,7-dihydro-7-methyl-3-(4-methyl-3-penten-1-yl)-']"
17189,"[tensor(6567), tensor(7367)]","['2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aR)-', '2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aS)-']"
17680,[tensor(7674)],['Octadecanal']
18073,[tensor(6523)],"['4H-1-Benzopyran-4-one, 6-β-D-glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-']"
18142,[tensor(1752)],['α-Terpinolene']
18203,"[tensor(7316), tensor(7619)]","['5-Azulenemethanol, 1,2,3,4,5,6,7,8-octahydro-α,α,3,8-tetramethyl-, (3S,5R,8S)-', 'Dodecanedioic acid']"
18465,"[tensor(5936), tensor(7477), tensor(7499), tensor(9032), tensor(9601)]","['2(3H)-Furanone, dihydro-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (5S)-', '2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4S,5R)-', '2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4R,5S)-rel-', '2(5H)-Furanone, 5-(2,4,6-octatriyn-1-yl)-, (5R)-', '2(3H)-Furanone, 5-(1,8-dihydroxy-2,4,6-octatriyn-1-yl)dihydro-, (5S)-']"
18500,[tensor(2142)],['capric acid']
18958,[tensor(5919)],"['4H-1-Benzopyran-4-one, 2,3-dihydro-3,5,7-trihydroxy-2-(4-methoxyphenyl)-, (2R,3R)-']"
19165,[tensor(10174)],"['4,6-Cyclopentacycloundecenediol, 1,2,3,3a,4,5,6,9,10,12a-decahydro-3-(1-hydroxy-1-methylethyl)-6,10,12a-trimethyl-, (3R,3aS,4S,6S,7E,10R,11E,12aR)-rel-(-)-']"
19661,"[tensor(1750), tensor(5788), tensor(6561), tensor(9705)]","['γ-Terpinene', '1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8R)-', '1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8S)-', '1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5Z,8S)-']"
20197,[tensor(1389)],['Linalyl acetate']
21491,[tensor(5613)],"['4H-1-Benzopyran-4-one, 5,6,7-trihydroxy-3-methoxy-2-(4-methoxyphenyl)-']"
21499,[tensor(3887)],['4-nerolidylcathecol']
22629,[tensor(1747)],['Myrcene']
22705,[tensor(9477)],"['Ergostane-2,3,6-triol, 25-methyl-, 2,3,6-tris(hydrogen sulfate)']"
24447,[tensor(1745)],"['1,8-Cineole']"
24793,"[tensor(10017), tensor(5308), tensor(5456), tensor(5696), tensor(8658), tensor(9283), tensor(9647)]","['Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9S)-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1S,4E,9R)-', '5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1S,4R,6R,10R)-', '5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1R,4R,6R,10S)-']"
26373,[tensor(1828)],['Benzyl benzoate']
26612,[tensor(1914)],['limonene']
27879,"[tensor(10052), tensor(6662)]","['2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-', '2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-, (2E)-']"
28297,[tensor(3151)],['farnesol']
28309,[tensor(7267)],"['β-D-Glucopyranoside, 2-(3,4-dihydroxyphenyl)ethyl 3-O-(6-deoxy-α-L-mannopyranosyl)-, 4-[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoate]']"
29867,"[tensor(1380), tensor(1755)]","['Linalool', 'α-Pinene']"
31128,"[tensor(6859), tensor(9610)]","['Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-rel-', 'Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1S,2S,4R)-']"
31868,"[tensor(6397), tensor(7030), tensor(9218)]","['1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-', '1H-Cycloprop[e]azulene, decahydro-1,1,4-trimethyl-7-methylene-, (1aR,4R,4aR,7aR,7bR)-', 'Cyclobuta[1,2:3,4]dicyclopentene, decahydro-3a-methyl-6-methylene-1-(1-methylethyl)-, (1S,3aS,3bR,6aS,6bR)-']"
32685,[tensor(1902)],['a-terpinene']
