node_id,community,dataset,hiv_active,brnpdb_id,common_name
0,22780,HIV,0.0,tensor(-1),
1,4620,HIV,0.0,tensor(-1),
2,18591,HIV,0.0,tensor(-1),
3,32439,HIV,0.0,tensor(-1),
4,18203,HIV,0.0,tensor(-1),
5,4616,HIV,0.0,tensor(-1),
6,5292,HIV,0.0,tensor(-1),
7,31271,HIV,0.0,tensor(-1),
8,5292,HIV,0.0,tensor(-1),
9,26905,HIV,0.0,tensor(-1),
10,33566,HIV,0.0,tensor(-1),
11,32509,HIV,0.0,tensor(-1),
12,16159,HIV,0.0,tensor(-1),
13,33566,HIV,0.0,tensor(-1),
14,29782,HIV,0.0,tensor(-1),
15,30075,HIV,0.0,tensor(-1),
16,7065,HIV,0.0,tensor(-1),
17,21333,HIV,0.0,tensor(-1),
18,24517,HIV,0.0,tensor(-1),
19,19,HIV,0.0,tensor(-1),
20,20,HIV,0.0,tensor(-1),
21,1890,HIV,0.0,tensor(-1),
22,4061,HIV,0.0,tensor(-1),
23,4061,HIV,0.0,tensor(-1),
24,38009,HIV,0.0,tensor(-1),
25,3226,HIV,0.0,tensor(-1),
26,5796,HIV,0.0,tensor(-1),
27,15965,HIV,0.0,tensor(-1),
28,3279,HIV,0.0,tensor(-1),
29,36063,HIV,0.0,tensor(-1),
30,21682,HIV,0.0,tensor(-1),
31,31,HIV,1.0,tensor(-1),
32,11805,HIV,0.0,tensor(-1),
33,27376,HIV,0.0,tensor(-1),
34,20622,HIV,1.0,tensor(-1),
35,32412,HIV,0.0,tensor(-1),
36,14834,HIV,0.0,tensor(-1),
37,38506,HIV,0.0,tensor(-1),
38,33677,HIV,0.0,tensor(-1),
39,39,HIV,0.0,tensor(-1),
40,20184,HIV,0.0,tensor(-1),
41,2270,HIV,0.0,tensor(-1),
42,18759,HIV,0.0,tensor(-1),
43,26161,HIV,0.0,tensor(-1),
44,25528,HIV,0.0,tensor(-1),
45,39579,HIV,0.0,tensor(-1),
46,29461,HIV,0.0,tensor(-1),
47,39470,HIV,0.0,tensor(-1),
48,23620,HIV,1.0,tensor(-1),
49,454,HIV,0.0,tensor(-1),
50,29461,HIV,0.0,tensor(-1),
51,37601,HIV,0.0,tensor(-1),
52,29867,HIV,0.0,tensor(-1),
53,38563,HIV,0.0,tensor(-1),
54,18615,HIV,0.0,tensor(-1),
55,27012,HIV,0.0,tensor(-1),
56,31082,HIV,0.0,tensor(-1),
57,36242,HIV,0.0,tensor(-1),
58,36242,HIV,0.0,tensor(-1),
59,38009,HIV,0.0,tensor(-1),
60,19845,HIV,0.0,tensor(-1),
61,14635,HIV,0.0,tensor(-1),
62,39548,HIV,0.0,tensor(-1),
63,11482,HIV,0.0,tensor(-1),
64,7108,HIV,0.0,tensor(-1),
65,13453,HIV,0.0,tensor(-1),
66,23884,HIV,0.0,tensor(-1),
67,15476,HIV,0.0,tensor(-1),
68,8546,HIV,0.0,tensor(-1),
69,34849,HIV,0.0,tensor(-1),
70,7052,HIV,0.0,tensor(-1),
71,26913,HIV,0.0,tensor(-1),
72,28901,HIV,0.0,tensor(-1),
73,12772,HIV,0.0,tensor(-1),
74,15804,HIV,0.0,tensor(-1),
75,37767,HIV,0.0,tensor(-1),
76,35281,HIV,0.0,tensor(-1),
77,12938,HIV,0.0,tensor(-1),
78,7023,HIV,0.0,tensor(-1),
79,26654,HIV,0.0,tensor(-1),
80,39735,HIV,0.0,tensor(-1),
81,4061,HIV,0.0,tensor(-1),
82,6485,HIV,0.0,tensor(-1),
83,40405,HIV,0.0,tensor(-1),
84,40411,HIV,0.0,tensor(-1),
85,40411,HIV,1.0,tensor(-1),
86,2191,HIV,1.0,tensor(-1),
87,32605,HIV,0.0,tensor(-1),
88,34656,HIV,0.0,tensor(-1),
89,26781,HIV,0.0,tensor(-1),
90,12985,HIV,0.0,tensor(-1),
91,2934,HIV,0.0,tensor(-1),
92,35190,HIV,0.0,tensor(-1),
93,37614,HIV,0.0,tensor(-1),
94,11593,HIV,0.0,tensor(-1),
95,4870,HIV,0.0,tensor(-1),
96,11280,HIV,0.0,tensor(-1),
97,41047,HIV,0.0,tensor(-1),
98,1773,HIV,0.0,tensor(-1),
99,28448,HIV,0.0,tensor(-1),
100,3855,HIV,0.0,tensor(-1),
101,27997,HIV,0.0,tensor(-1),
102,16759,HIV,0.0,tensor(-1),
103,35190,HIV,0.0,tensor(-1),
104,9517,HIV,0.0,tensor(-1),
105,39075,HIV,0.0,tensor(-1),
106,3352,HIV,0.0,tensor(-1),
107,3828,HIV,0.0,tensor(-1),
108,3828,HIV,0.0,tensor(-1),
109,22788,HIV,0.0,tensor(-1),
110,13271,HIV,0.0,tensor(-1),
111,39691,HIV,0.0,tensor(-1),
112,20,HIV,0.0,tensor(-1),
113,6316,HIV,0.0,tensor(-1),
114,21789,HIV,0.0,tensor(-1),
115,32681,HIV,0.0,tensor(-1),
116,39158,HIV,0.0,tensor(-1),
117,538,HIV,0.0,tensor(-1),
118,10263,HIV,0.0,tensor(-1),
119,10223,HIV,0.0,tensor(-1),
120,120,HIV,0.0,tensor(-1),
121,5108,HIV,0.0,tensor(-1),
122,32509,HIV,0.0,tensor(-1),
123,8419,HIV,0.0,tensor(-1),
124,4075,HIV,0.0,tensor(-1),
125,38022,HIV,0.0,tensor(-1),
126,27315,HIV,0.0,tensor(-1),
127,11099,HIV,0.0,tensor(-1),
128,4111,HIV,0.0,tensor(-1),
129,41044,HIV,0.0,tensor(-1),
130,12328,HIV,0.0,tensor(-1),
131,131,HIV,0.0,tensor(-1),
132,33122,HIV,0.0,tensor(-1),
133,3748,HIV,0.0,tensor(-1),
134,31082,HIV,0.0,tensor(-1),
135,29867,HIV,0.0,tensor(-1),
136,4520,HIV,0.0,tensor(-1),
137,3828,HIV,0.0,tensor(-1),
138,30100,HIV,0.0,tensor(-1),
139,22248,HIV,0.0,tensor(-1),
140,7047,HIV,0.0,tensor(-1),
141,35720,HIV,0.0,tensor(-1),
142,37741,HIV,0.0,tensor(-1),
143,24921,HIV,0.0,tensor(-1),
144,14174,HIV,0.0,tensor(-1),
145,38595,HIV,0.0,tensor(-1),
146,32439,HIV,0.0,tensor(-1),
147,223,HIV,0.0,tensor(-1),
148,148,HIV,0.0,tensor(-1),
149,9194,HIV,0.0,tensor(-1),
150,39958,HIV,0.0,tensor(-1),
151,38652,HIV,0.0,tensor(-1),
152,6485,HIV,0.0,tensor(-1),
153,18203,HIV,0.0,tensor(-1),
154,19109,HIV,0.0,tensor(-1),
155,155,HIV,0.0,tensor(-1),
156,3541,HIV,0.0,tensor(-1),
157,32444,HIV,0.0,tensor(-1),
158,120,HIV,0.0,tensor(-1),
159,36499,HIV,0.0,tensor(-1),
160,160,HIV,0.0,tensor(-1),
161,33504,HIV,0.0,tensor(-1),
162,162,HIV,0.0,tensor(-1),
163,25881,HIV,0.0,tensor(-1),
164,27303,HIV,0.0,tensor(-1),
165,13560,HIV,0.0,tensor(-1),
166,1724,HIV,0.0,tensor(-1),
167,37972,HIV,0.0,tensor(-1),
168,39075,HIV,0.0,tensor(-1),
169,25774,HIV,0.0,tensor(-1),
170,35662,HIV,0.0,tensor(-1),
171,23574,HIV,0.0,tensor(-1),
172,36906,HIV,0.0,tensor(-1),
173,36270,HIV,0.0,tensor(-1),
174,31684,HIV,0.0,tensor(-1),
175,2414,HIV,0.0,tensor(-1),
176,7218,HIV,0.0,tensor(-1),
177,35031,HIV,0.0,tensor(-1),
178,18632,HIV,0.0,tensor(-1),
179,39580,HIV,0.0,tensor(-1),
180,33636,HIV,0.0,tensor(-1),
181,35912,HIV,0.0,tensor(-1),
182,8877,HIV,0.0,tensor(-1),
183,33739,HIV,0.0,tensor(-1),
184,184,HIV,0.0,tensor(-1),
185,20553,HIV,0.0,tensor(-1),
186,13658,HIV,0.0,tensor(-1),
187,35740,HIV,0.0,tensor(-1),
188,3595,HIV,0.0,tensor(-1),
189,189,HIV,0.0,tensor(-1),
190,34932,HIV,0.0,tensor(-1),
191,1420,HIV,0.0,tensor(-1),
192,5108,HIV,0.0,tensor(-1),
193,15525,HIV,0.0,tensor(-1),
194,22857,HIV,0.0,tensor(-1),
195,38343,HIV,0.0,tensor(-1),
196,196,HIV,0.0,tensor(-1),
197,26781,HIV,0.0,tensor(-1),
198,40191,HIV,0.0,tensor(-1),
199,32519,HIV,0.0,tensor(-1),
200,14287,HIV,0.0,tensor(-1),
201,240,HIV,0.0,tensor(-1),
202,240,HIV,0.0,tensor(-1),
203,39691,HIV,0.0,tensor(-1),
204,240,HIV,0.0,tensor(-1),
205,20758,HIV,0.0,tensor(-1),
206,10980,HIV,0.0,tensor(-1),
207,19553,HIV,0.0,tensor(-1),
208,22041,HIV,0.0,tensor(-1),
209,23574,HIV,0.0,tensor(-1),
210,120,HIV,0.0,tensor(-1),
211,27663,HIV,0.0,tensor(-1),
212,19818,HIV,0.0,tensor(-1),
213,12807,HIV,0.0,tensor(-1),
214,22892,HIV,0.0,tensor(-1),
215,11285,HIV,0.0,tensor(-1),
216,22528,HIV,0.0,tensor(-1),
217,12427,HIV,0.0,tensor(-1),
218,3059,HIV,0.0,tensor(-1),
219,40263,HIV,0.0,tensor(-1),
220,7993,HIV,0.0,tensor(-1),
221,31104,HIV,0.0,tensor(-1),
222,21628,HIV,0.0,tensor(-1),
223,223,HIV,0.0,tensor(-1),
224,18915,HIV,0.0,tensor(-1),
225,225,HIV,0.0,tensor(-1),
226,4141,HIV,0.0,tensor(-1),
227,2110,HIV,0.0,tensor(-1),
228,4454,HIV,0.0,tensor(-1),
